fund_type,quarter,borrowing_pct_gav,source
Qualifying Hedge Fund,2013Q1,0.418,Tab.2.9
Hedge Fund,2013Q1,0.388,Tab.2.9
Securitized Asset Fund,2013Q1,0.466,Tab.2.9
Real Estate Fund,2013Q1,0.15,Tab.2.9
Other Private Fund,2013Q1,0.06,Tab.2.9
Section 4 Private Equity Fund,2013Q1,0.028,Tab.2.9
Private Equity Fund,2013Q1,0.036,Tab.2.9
Venture Capital Fund,2013Q1,0.014,Tab.2.9
Section 3 Liquidity Fund,2013Q1,0.0,Tab.2.9
Liquidity Fund,2013Q1,0.0,Tab.2.9
Qualifying Hedge Fund,2013Q2,0.443,Tab.2.9
Hedge Fund,2013Q2,0.41,Tab.2.9
Securitized Asset Fund,2013Q2,0.464,Tab.2.9
Real Estate Fund,2013Q2,0.148,Tab.2.9
Other Private Fund,2013Q2,0.058,Tab.2.9
Section 4 Private Equity Fund,2013Q2,0.028,Tab.2.9
Private Equity Fund,2013Q2,0.038,Tab.2.9
Venture Capital Fund,2013Q2,0.014,Tab.2.9
Section 3 Liquidity Fund,2013Q2,0.0,Tab.2.9
Liquidity Fund,2013Q2,0.0,Tab.2.9
Qualifying Hedge Fund,2013Q3,0.412,Tab.2.9
Hedge Fund,2013Q3,0.384,Tab.2.9
Securitized Asset Fund,2013Q3,0.459,Tab.2.9
Real Estate Fund,2013Q3,0.147,Tab.2.9
Other Private Fund,2013Q3,0.056,Tab.2.9
Section 4 Private Equity Fund,2013Q3,0.028,Tab.2.9
Private Equity Fund,2013Q3,0.038,Tab.2.9
Venture Capital Fund,2013Q3,0.014,Tab.2.9
Section 3 Liquidity Fund,2013Q3,0.0,Tab.2.9
Liquidity Fund,2013Q3,0.0,Tab.2.9
Qualifying Hedge Fund,2013Q4,0.394,Tab.2.9
Hedge Fund,2013Q4,0.37,Tab.2.9
Securitized Asset Fund,2013Q4,0.475,Tab.2.9
Real Estate Fund,2013Q4,0.128,Tab.2.9
Other Private Fund,2013Q4,0.043,Tab.2.9
Section 4 Private Equity Fund,2013Q4,0.021,Tab.2.9
Private Equity Fund,2013Q4,0.023,Tab.2.9
Venture Capital Fund,2013Q4,0.009,Tab.2.9
Section 3 Liquidity Fund,2013Q4,0.0,Tab.2.9
Liquidity Fund,2013Q4,0.0,Tab.2.9
Qualifying Hedge Fund,2014Q1,0.392,Tab.2.9
Hedge Fund,2014Q1,0.369,Tab.2.9
Securitized Asset Fund,2014Q1,0.469,Tab.2.9
Real Estate Fund,2014Q1,0.124,Tab.2.9
Other Private Fund,2014Q1,0.042,Tab.2.9
Section 4 Private Equity Fund,2014Q1,0.021,Tab.2.9
Private Equity Fund,2014Q1,0.023,Tab.2.9
Venture Capital Fund,2014Q1,0.009,Tab.2.9
Section 3 Liquidity Fund,2014Q1,0.0,Tab.2.9
Liquidity Fund,2014Q1,0.0,Tab.2.9
Qualifying Hedge Fund,2014Q2,0.379,Tab.2.9
Hedge Fund,2014Q2,0.366,Tab.2.9
Securitized Asset Fund,2014Q2,0.464,Tab.2.9
Real Estate Fund,2014Q2,0.124,Tab.2.9
Other Private Fund,2014Q2,0.042,Tab.2.9
Section 4 Private Equity Fund,2014Q2,0.021,Tab.2.9
Private Equity Fund,2014Q2,0.024,Tab.2.9
Venture Capital Fund,2014Q2,0.009,Tab.2.9
Section 3 Liquidity Fund,2014Q2,0.0,Tab.2.9
Liquidity Fund,2014Q2,0.0,Tab.2.9
Qualifying Hedge Fund,2014Q3,0.38,Tab.2.9
Hedge Fund,2014Q3,0.367,Tab.2.9
Securitized Asset Fund,2014Q3,0.471,Tab.2.9
Real Estate Fund,2014Q3,0.124,Tab.2.9
Other Private Fund,2014Q3,0.042,Tab.2.9
Section 4 Private Equity Fund,2014Q3,0.021,Tab.2.9
Private Equity Fund,2014Q3,0.024,Tab.2.9
Venture Capital Fund,2014Q3,0.009,Tab.2.9
Section 3 Liquidity Fund,2014Q3,0.0,Tab.2.9
Liquidity Fund,2014Q3,0.0,Tab.2.9
Qualifying Hedge Fund,2014Q4,0.383,Tab.2.9
Hedge Fund,2014Q4,0.362,Tab.2.9
Securitized Asset Fund,2014Q4,0.48,Tab.2.9
Real Estate Fund,2014Q4,0.137,Tab.2.9
Other Private Fund,2014Q4,0.03,Tab.2.9
Section 4 Private Equity Fund,2014Q4,0.023,Tab.2.9
Private Equity Fund,2014Q4,0.04,Tab.2.9
Venture Capital Fund,2014Q4,0.006,Tab.2.9
Section 3 Liquidity Fund,2014Q4,0.0,Tab.2.9
Liquidity Fund,2014Q4,0.0,Tab.2.9
Qualifying Hedge Fund,2015Q1,0.382,Tab.2.9
Hedge Fund,2015Q1,0.354,Tab.2.9
Securitized Asset Fund,2015Q1,0.466,Tab.2.9
Real Estate Fund,2015Q1,0.132,Tab.2.9
Other Private Fund,2015Q1,0.029,Tab.2.9
Section 4 Private Equity Fund,2015Q1,0.023,Tab.2.9
Private Equity Fund,2015Q1,0.039,Tab.2.9
Venture Capital Fund,2015Q1,0.006,Tab.2.9
Section 3 Liquidity Fund,2015Q1,0.0,Tab.2.9
Liquidity Fund,2015Q1,0.0,Tab.2.9
Qualifying Hedge Fund,2015Q2,0.389,Tab.2.9
Hedge Fund,2015Q2,0.361,Tab.2.9
Securitized Asset Fund,2015Q2,0.465,Tab.2.9
Real Estate Fund,2015Q2,0.132,Tab.2.9
Other Private Fund,2015Q2,0.028,Tab.2.9
Section 4 Private Equity Fund,2015Q2,0.023,Tab.2.9
Private Equity Fund,2015Q2,0.04,Tab.2.9
Venture Capital Fund,2015Q2,0.006,Tab.2.9
Section 3 Liquidity Fund,2015Q2,0.0,Tab.2.9
Liquidity Fund,2015Q2,0.0,Tab.2.9
Qualifying Hedge Fund,2015Q3,0.393,Tab.2.9
Hedge Fund,2015Q3,0.365,Tab.2.9
Securitized Asset Fund,2015Q3,0.463,Tab.2.9
Real Estate Fund,2015Q3,0.132,Tab.2.9
Other Private Fund,2015Q3,0.029,Tab.2.9
Section 4 Private Equity Fund,2015Q3,0.023,Tab.2.9
Private Equity Fund,2015Q3,0.04,Tab.2.9
Venture Capital Fund,2015Q3,0.006,Tab.2.9
Section 3 Liquidity Fund,2015Q3,0.0,Tab.2.9
Liquidity Fund,2015Q3,0.0,Tab.2.9
Qualifying Hedge Fund,2015Q4,0.382,Tab.2.9
Hedge Fund,2015Q4,0.356,Tab.2.9
Securitized Asset Fund,2015Q4,0.507,Tab.2.9
Real Estate Fund,2015Q4,0.137,Tab.2.9
Other Private Fund,2015Q4,0.023,Tab.2.9
Section 4 Private Equity Fund,2015Q4,0.034,Tab.2.9
Private Equity Fund,2015Q4,0.048,Tab.2.9
Venture Capital Fund,2015Q4,0.004,Tab.2.9
Section 3 Liquidity Fund,2015Q4,0.0,Tab.2.9
Liquidity Fund,2015Q4,0.0,Tab.2.9
Qualifying Hedge Fund,2016Q1,0.392,Tab.2.9
Hedge Fund,2016Q1,0.368,Tab.2.9
Securitized Asset Fund,2016Q1,0.489,Tab.2.9
Real Estate Fund,2016Q1,0.132,Tab.2.9
Other Private Fund,2016Q1,0.022,Tab.2.9
Section 4 Private Equity Fund,2016Q1,0.034,Tab.2.9
Private Equity Fund,2016Q1,0.048,Tab.2.9
Venture Capital Fund,2016Q1,0.004,Tab.2.9
Section 3 Liquidity Fund,2016Q1,0.0,Tab.2.9
Liquidity Fund,2016Q1,0.0,Tab.2.9
Qualifying Hedge Fund,2016Q2,0.382,Tab.2.9
Hedge Fund,2016Q2,0.362,Tab.2.9
Securitized Asset Fund,2016Q2,0.487,Tab.2.9
Real Estate Fund,2016Q2,0.133,Tab.2.9
Other Private Fund,2016Q2,0.022,Tab.2.9
Section 4 Private Equity Fund,2016Q2,0.034,Tab.2.9
Private Equity Fund,2016Q2,0.049,Tab.2.9
Venture Capital Fund,2016Q2,0.003,Tab.2.9
Section 3 Liquidity Fund,2016Q2,0.0,Tab.2.9
Liquidity Fund,2016Q2,0.0,Tab.2.9
Qualifying Hedge Fund,2016Q3,0.399,Tab.2.9
Hedge Fund,2016Q3,0.38,Tab.2.9
Securitized Asset Fund,2016Q3,0.484,Tab.2.9
Real Estate Fund,2016Q3,0.132,Tab.2.9
Other Private Fund,2016Q3,0.021,Tab.2.9
Section 4 Private Equity Fund,2016Q3,0.034,Tab.2.9
Private Equity Fund,2016Q3,0.049,Tab.2.9
Venture Capital Fund,2016Q3,0.004,Tab.2.9
Section 3 Liquidity Fund,2016Q3,0.0,Tab.2.9
Liquidity Fund,2016Q3,0.0,Tab.2.9
Qualifying Hedge Fund,2016Q4,0.397,Tab.2.9
Hedge Fund,2016Q4,0.373,Tab.2.9
Securitized Asset Fund,2016Q4,0.507,Tab.2.9
Real Estate Fund,2016Q4,0.136,Tab.2.9
Other Private Fund,2016Q4,0.028,Tab.2.9
Section 4 Private Equity Fund,2016Q4,0.04,Tab.2.9
Private Equity Fund,2016Q4,0.051,Tab.2.9
Venture Capital Fund,2016Q4,0.004,Tab.2.9
Section 3 Liquidity Fund,2016Q4,0.0,Tab.2.9
Liquidity Fund,2016Q4,0.0,Tab.2.9
Qualifying Hedge Fund,2017Q1,0.41,Tab.2.9
Hedge Fund,2017Q1,0.383,Tab.2.9
Securitized Asset Fund,2017Q1,0.495,Tab.2.9
Real Estate Fund,2017Q1,0.129,Tab.2.9
Other Private Fund,2017Q1,0.027,Tab.2.9
Section 4 Private Equity Fund,2017Q1,0.04,Tab.2.9
Private Equity Fund,2017Q1,0.05,Tab.2.9
Venture Capital Fund,2017Q1,0.004,Tab.2.9
Section 3 Liquidity Fund,2017Q1,0.0,Tab.2.9
Liquidity Fund,2017Q1,0.0,Tab.2.9
Qualifying Hedge Fund,2017Q2,0.425,Tab.2.9
Hedge Fund,2017Q2,0.395,Tab.2.9
Securitized Asset Fund,2017Q2,0.488,Tab.2.9
Real Estate Fund,2017Q2,0.127,Tab.2.9
Other Private Fund,2017Q2,0.027,Tab.2.9
Section 4 Private Equity Fund,2017Q2,0.04,Tab.2.9
Private Equity Fund,2017Q2,0.05,Tab.2.9
Venture Capital Fund,2017Q2,0.005,Tab.2.9
Section 3 Liquidity Fund,2017Q2,0.0,Tab.2.9
Liquidity Fund,2017Q2,0.0,Tab.2.9
Qualifying Hedge Fund,2017Q3,0.418,Tab.2.9
Hedge Fund,2017Q3,0.396,Tab.2.9
Securitized Asset Fund,2017Q3,0.484,Tab.2.9
Real Estate Fund,2017Q3,0.127,Tab.2.9
Other Private Fund,2017Q3,0.027,Tab.2.9
Section 4 Private Equity Fund,2017Q3,0.041,Tab.2.9
Private Equity Fund,2017Q3,0.05,Tab.2.9
Venture Capital Fund,2017Q3,0.005,Tab.2.9
Section 3 Liquidity Fund,2017Q3,0.0,Tab.2.9
Liquidity Fund,2017Q3,0.0,Tab.2.9
Qualifying Hedge Fund,2017Q4,0.414,Tab.2.9
Hedge Fund,2017Q4,0.393,Tab.2.9
Securitized Asset Fund,2017Q4,0.519,Tab.2.9
Real Estate Fund,2017Q4,0.132,Tab.2.9
Other Private Fund,2017Q4,0.022,Tab.2.9
Section 4 Private Equity Fund,2017Q4,0.046,Tab.2.9
Private Equity Fund,2017Q4,0.052,Tab.2.9
Venture Capital Fund,2017Q4,0.006,Tab.2.9
Section 3 Liquidity Fund,2017Q4,0.0,Tab.2.9
Liquidity Fund,2017Q4,0.0,Tab.2.9
Qualifying Hedge Fund,2018Q1,0.429,Tab.2.9
Hedge Fund,2018Q1,0.404,Tab.2.9
Securitized Asset Fund,2018Q1,0.512,Tab.2.9
Real Estate Fund,2018Q1,0.135,Tab.2.9
Other Private Fund,2018Q1,0.027,Tab.2.9
Section 4 Private Equity Fund,2018Q1,0.046,Tab.2.9
Private Equity Fund,2018Q1,0.049,Tab.2.9
Venture Capital Fund,2018Q1,0.005,Tab.2.9
Section 3 Liquidity Fund,2018Q1,0.0,Tab.2.9
Liquidity Fund,2018Q1,0.0,Tab.2.9
Qualifying Hedge Fund,2018Q2,0.45,Tab.2.9
Hedge Fund,2018Q2,0.416,Tab.2.9
Securitized Asset Fund,2018Q2,0.512,Tab.2.9
Real Estate Fund,2018Q2,0.132,Tab.2.9
Other Private Fund,2018Q2,0.027,Tab.2.9
Section 4 Private Equity Fund,2018Q2,0.046,Tab.2.9
Private Equity Fund,2018Q2,0.049,Tab.2.9
Venture Capital Fund,2018Q2,0.005,Tab.2.9
Section 3 Liquidity Fund,2018Q2,0.0,Tab.2.9
Liquidity Fund,2018Q2,0.0,Tab.2.9
Qualifying Hedge Fund,2018Q3,0.445,Tab.2.9
Hedge Fund,2018Q3,0.412,Tab.2.9
Securitized Asset Fund,2018Q3,0.506,Tab.2.9
Real Estate Fund,2018Q3,0.132,Tab.2.9
Other Private Fund,2018Q3,0.03,Tab.2.9
Section 4 Private Equity Fund,2018Q3,0.046,Tab.2.9
Private Equity Fund,2018Q3,0.049,Tab.2.9
Venture Capital Fund,2018Q3,0.006,Tab.2.9
Section 3 Liquidity Fund,2018Q3,0.0,Tab.2.9
Liquidity Fund,2018Q3,0.0,Tab.2.9
Qualifying Hedge Fund,2018Q4,0.45,Tab.2.9
Hedge Fund,2018Q4,0.415,Tab.2.9
Securitized Asset Fund,2018Q4,0.535,Tab.2.9
Real Estate Fund,2018Q4,0.148,Tab.2.9
Other Private Fund,2018Q4,0.035,Tab.2.9
Section 4 Private Equity Fund,2018Q4,0.052,Tab.2.9
Private Equity Fund,2018Q4,0.053,Tab.2.9
Venture Capital Fund,2018Q4,0.009,Tab.2.9
Section 3 Liquidity Fund,2018Q4,0.0,Tab.2.9
Liquidity Fund,2018Q4,0.0,Tab.2.9
Qualifying Hedge Fund,2019Q1,0.467,Tab.2.9
Hedge Fund,2019Q1,0.43,Tab.2.9
Securitized Asset Fund,2019Q1,0.527,Tab.2.9
Real Estate Fund,2019Q1,0.149,Tab.2.9
Other Private Fund,2019Q1,0.033,Tab.2.9
Section 4 Private Equity Fund,2019Q1,0.052,Tab.2.9
Private Equity Fund,2019Q1,0.051,Tab.2.9
Venture Capital Fund,2019Q1,0.008,Tab.2.9
Section 3 Liquidity Fund,2019Q1,0.0,Tab.2.9
Liquidity Fund,2019Q1,0.0,Tab.2.9
Qualifying Hedge Fund,2019Q2,0.471,Tab.2.9
Hedge Fund,2019Q2,0.432,Tab.2.9
Securitized Asset Fund,2019Q2,0.521,Tab.2.9
Real Estate Fund,2019Q2,0.147,Tab.2.9
Other Private Fund,2019Q2,0.034,Tab.2.9
Section 4 Private Equity Fund,2019Q2,0.052,Tab.2.9
Private Equity Fund,2019Q2,0.051,Tab.2.9
Venture Capital Fund,2019Q2,0.009,Tab.2.9
Section 3 Liquidity Fund,2019Q2,0.0,Tab.2.9
Liquidity Fund,2019Q2,0.0,Tab.2.9
Qualifying Hedge Fund,2019Q3,0.466,Tab.2.9
Hedge Fund,2019Q3,0.43,Tab.2.9
Securitized Asset Fund,2019Q3,0.522,Tab.2.9
Real Estate Fund,2019Q3,0.147,Tab.2.9
Other Private Fund,2019Q3,0.034,Tab.2.9
Section 4 Private Equity Fund,2019Q3,0.052,Tab.2.9
Private Equity Fund,2019Q3,0.051,Tab.2.9
Venture Capital Fund,2019Q3,0.009,Tab.2.9
Section 3 Liquidity Fund,2019Q3,0.0,Tab.2.9
Liquidity Fund,2019Q3,0.0,Tab.2.9
Qualifying Hedge Fund,2019Q4,0.473,Tab.2.9
Hedge Fund,2019Q4,0.434,Tab.2.9
Securitized Asset Fund,2019Q4,0.525,Tab.2.9
Real Estate Fund,2019Q4,0.148,Tab.2.9
Other Private Fund,2019Q4,0.045,Tab.2.9
Section 4 Private Equity Fund,2019Q4,0.073,Tab.2.9
Private Equity Fund,2019Q4,0.065,Tab.2.9
Venture Capital Fund,2019Q4,0.008,Tab.2.9
Section 3 Liquidity Fund,2019Q4,0.0,Tab.2.9
Liquidity Fund,2019Q4,0.0,Tab.2.9
Qualifying Hedge Fund,2020Q1,0.459,Tab.2.9
Hedge Fund,2020Q1,0.423,Tab.2.9
Securitized Asset Fund,2020Q1,0.49,Tab.2.9
Real Estate Fund,2020Q1,0.15,Tab.2.9
Other Private Fund,2020Q1,0.048,Tab.2.9
Section 4 Private Equity Fund,2020Q1,0.073,Tab.2.9
Private Equity Fund,2020Q1,0.064,Tab.2.9
Venture Capital Fund,2020Q1,0.007,Tab.2.9
Section 3 Liquidity Fund,2020Q1,0.0,Tab.2.9
Liquidity Fund,2020Q1,0.0,Tab.2.9
Qualifying Hedge Fund,2020Q2,0.452,Tab.2.9
Hedge Fund,2020Q2,0.413,Tab.2.9
Securitized Asset Fund,2020Q2,0.477,Tab.2.9
Real Estate Fund,2020Q2,0.147,Tab.2.9
Other Private Fund,2020Q2,0.047,Tab.2.9
Section 4 Private Equity Fund,2020Q2,0.073,Tab.2.9
Private Equity Fund,2020Q2,0.064,Tab.2.9
Venture Capital Fund,2020Q2,0.008,Tab.2.9
Section 3 Liquidity Fund,2020Q2,0.0,Tab.2.9
Liquidity Fund,2020Q2,0.0,Tab.2.9
Qualifying Hedge Fund,2020Q3,0.47,Tab.2.9
Hedge Fund,2020Q3,0.43,Tab.2.9
Securitized Asset Fund,2020Q3,0.475,Tab.2.9
Real Estate Fund,2020Q3,0.147,Tab.2.9
Other Private Fund,2020Q3,0.048,Tab.2.9
Section 4 Private Equity Fund,2020Q3,0.073,Tab.2.9
Private Equity Fund,2020Q3,0.064,Tab.2.9
Venture Capital Fund,2020Q3,0.008,Tab.2.9
Section 3 Liquidity Fund,2020Q3,0.0,Tab.2.9
Liquidity Fund,2020Q3,0.0,Tab.2.9
Qualifying Hedge Fund,2020Q4,0.455,Tab.2.9
Hedge Fund,2020Q4,0.41,Tab.2.9
Securitized Asset Fund,2020Q4,0.534,Tab.2.9
Real Estate Fund,2020Q4,0.139,Tab.2.9
Other Private Fund,2020Q4,0.05,Tab.2.9
Section 4 Private Equity Fund,2020Q4,0.051,Tab.2.9
Private Equity Fund,2020Q4,0.05,Tab.2.9
Venture Capital Fund,2020Q4,0.005,Tab.2.9
Section 3 Liquidity Fund,2020Q4,0.0,Tab.2.9
Liquidity Fund,2020Q4,0.0,Tab.2.9
Qualifying Hedge Fund,2021Q1,0.452,Tab.2.9
Hedge Fund,2021Q1,0.409,Tab.2.9
Securitized Asset Fund,2021Q1,0.501,Tab.2.9
Real Estate Fund,2021Q1,0.14,Tab.2.9
Other Private Fund,2021Q1,0.049,Tab.2.9
Section 4 Private Equity Fund,2021Q1,0.049,Tab.2.9
Private Equity Fund,2021Q1,0.047,Tab.2.9
Venture Capital Fund,2021Q1,0.005,Tab.2.9
Section 3 Liquidity Fund,2021Q1,0.0,Tab.2.9
Liquidity Fund,2021Q1,0.0,Tab.2.9
Qualifying Hedge Fund,2021Q2,0.456,Tab.2.9
Hedge Fund,2021Q2,0.416,Tab.2.9
Securitized Asset Fund,2021Q2,0.5,Tab.2.9
Real Estate Fund,2021Q2,0.137,Tab.2.9
Other Private Fund,2021Q2,0.041,Tab.2.9
Section 4 Private Equity Fund,2021Q2,0.049,Tab.2.9
Private Equity Fund,2021Q2,0.047,Tab.2.9
Venture Capital Fund,2021Q2,0.005,Tab.2.9
Section 3 Liquidity Fund,2021Q2,0.0,Tab.2.9
Liquidity Fund,2021Q2,0.0,Tab.2.9
Qualifying Hedge Fund,2021Q3,0.446,Tab.2.9
Hedge Fund,2021Q3,0.413,Tab.2.9
Securitized Asset Fund,2021Q3,0.498,Tab.2.9
Real Estate Fund,2021Q3,0.14,Tab.2.9
Other Private Fund,2021Q3,0.039,Tab.2.9
Section 4 Private Equity Fund,2021Q3,0.049,Tab.2.9
Private Equity Fund,2021Q3,0.047,Tab.2.9
Venture Capital Fund,2021Q3,0.005,Tab.2.9
Section 3 Liquidity Fund,2021Q3,0.0,Tab.2.9
Liquidity Fund,2021Q3,0.0,Tab.2.9
Qualifying Hedge Fund,2021Q4,0.455,Tab.2.9
Hedge Fund,2021Q4,0.42,Tab.2.9
Securitized Asset Fund,2021Q4,0.524,Tab.2.9
Real Estate Fund,2021Q4,0.132,Tab.2.9
Other Private Fund,2021Q4,0.035,Tab.2.9
Section 4 Private Equity Fund,2021Q4,0.054,Tab.2.9
Private Equity Fund,2021Q4,0.055,Tab.2.9
Venture Capital Fund,2021Q4,0.007,Tab.2.9
Section 3 Liquidity Fund,2021Q4,0.0,Tab.2.9
Liquidity Fund,2021Q4,0.0,Tab.2.9
Qualifying Hedge Fund,2022Q1,0.432,Tab.2.9
Hedge Fund,2022Q1,0.397,Tab.2.9
Securitized Asset Fund,2022Q1,0.497,Tab.2.9
Real Estate Fund,2022Q1,0.123,Tab.2.9
Other Private Fund,2022Q1,0.036,Tab.2.9
Section 4 Private Equity Fund,2022Q1,0.055,Tab.2.9
Private Equity Fund,2022Q1,0.055,Tab.2.9
Venture Capital Fund,2022Q1,0.007,Tab.2.9
Section 3 Liquidity Fund,2022Q1,0.0,Tab.2.9
Liquidity Fund,2022Q1,0.0,Tab.2.9
Qualifying Hedge Fund,2022Q2,0.433,Tab.2.9
Hedge Fund,2022Q2,0.396,Tab.2.9
Securitized Asset Fund,2022Q2,0.493,Tab.2.9
Real Estate Fund,2022Q2,0.123,Tab.2.9
Other Private Fund,2022Q2,0.035,Tab.2.9
Section 4 Private Equity Fund,2022Q2,0.054,Tab.2.9
Private Equity Fund,2022Q2,0.054,Tab.2.9
Venture Capital Fund,2022Q2,0.007,Tab.2.9
Section 3 Liquidity Fund,2022Q2,0.0,Tab.2.9
Liquidity Fund,2022Q2,0.0,Tab.2.9
Qualifying Hedge Fund,2022Q3,0.434,Tab.2.9
Hedge Fund,2022Q3,0.399,Tab.2.9
Securitized Asset Fund,2022Q3,0.494,Tab.2.9
Real Estate Fund,2022Q3,0.125,Tab.2.9
Other Private Fund,2022Q3,0.037,Tab.2.9
Section 4 Private Equity Fund,2022Q3,0.054,Tab.2.9
Private Equity Fund,2022Q3,0.055,Tab.2.9
Venture Capital Fund,2022Q3,0.007,Tab.2.9
Section 3 Liquidity Fund,2022Q3,0.0,Tab.2.9
Liquidity Fund,2022Q3,0.0,Tab.2.9
Qualifying Hedge Fund,2022Q4,0.442,Tab.2.9
Hedge Fund,2022Q4,0.406,Tab.2.9
Securitized Asset Fund,2022Q4,0.565,Tab.2.9
Real Estate Fund,2022Q4,0.14,Tab.2.9
Other Private Fund,2022Q4,0.056,Tab.2.9
Section 4 Private Equity Fund,2022Q4,0.057,Tab.2.9
Private Equity Fund,2022Q4,0.057,Tab.2.9
Venture Capital Fund,2022Q4,0.006,Tab.2.9
Section 3 Liquidity Fund,2022Q4,0.0,Tab.2.9
Liquidity Fund,2022Q4,0.0,Tab.2.9
Qualifying Hedge Fund,2023Q1,0.468,Tab.2.9
Hedge Fund,2023Q1,0.432,Tab.2.9
Securitized Asset Fund,2023Q1,0.536,Tab.2.9
Real Estate Fund,2023Q1,0.132,Tab.2.9
Other Private Fund,2023Q1,0.058,Tab.2.9
Section 4 Private Equity Fund,2023Q1,0.058,Tab.2.9
Private Equity Fund,2023Q1,0.056,Tab.2.9
Venture Capital Fund,2023Q1,0.006,Tab.2.9
Section 3 Liquidity Fund,2023Q1,0.0,Tab.2.9
Liquidity Fund,2023Q1,0.0,Tab.2.9
Qualifying Hedge Fund,2023Q2,0.479,Tab.2.9
Hedge Fund,2023Q2,0.44,Tab.2.9
Securitized Asset Fund,2023Q2,0.536,Tab.2.9
Real Estate Fund,2023Q2,0.132,Tab.2.9
Other Private Fund,2023Q2,0.059,Tab.2.9
Section 4 Private Equity Fund,2023Q2,0.058,Tab.2.9
Private Equity Fund,2023Q2,0.056,Tab.2.9
Venture Capital Fund,2023Q2,0.006,Tab.2.9
Section 3 Liquidity Fund,2023Q2,0.0,Tab.2.9
Liquidity Fund,2023Q2,0.0,Tab.2.9
Qualifying Hedge Fund,2023Q3,0.479,Tab.2.9
Hedge Fund,2023Q3,0.442,Tab.2.9
Securitized Asset Fund,2023Q3,0.533,Tab.2.9
Real Estate Fund,2023Q3,0.136,Tab.2.9
Other Private Fund,2023Q3,0.059,Tab.2.9
Section 4 Private Equity Fund,2023Q3,0.058,Tab.2.9
Private Equity Fund,2023Q3,0.055,Tab.2.9
Venture Capital Fund,2023Q3,0.006,Tab.2.9
Section 3 Liquidity Fund,2023Q3,0.0,Tab.2.9
Liquidity Fund,2023Q3,0.0,Tab.2.9
Qualifying Hedge Fund,2023Q4,0.504,Tab.2.9
Hedge Fund,2023Q4,0.462,Tab.2.9
Securitized Asset Fund,2023Q4,0.566,Tab.2.9
Real Estate Fund,2023Q4,0.148,Tab.2.9
Other Private Fund,2023Q4,0.052,Tab.2.9
Section 4 Private Equity Fund,2023Q4,0.05,Tab.2.9
Private Equity Fund,2023Q4,0.049,Tab.2.9
Venture Capital Fund,2023Q4,0.006,Tab.2.9
Section 3 Liquidity Fund,2023Q4,0.0,Tab.2.9
Liquidity Fund,2023Q4,0.0,Tab.2.9
Qualifying Hedge Fund,2024Q1,0.523,Tab.2.9
Hedge Fund,2024Q1,0.475,Tab.2.9
Securitized Asset Fund,2024Q1,0.534,Tab.2.9
Real Estate Fund,2024Q1,0.14,Tab.2.9
Other Private Fund,2024Q1,0.052,Tab.2.9
Section 4 Private Equity Fund,2024Q1,0.05,Tab.2.9
Private Equity Fund,2024Q1,0.048,Tab.2.9
Venture Capital Fund,2024Q1,0.006,Tab.2.9
Section 3 Liquidity Fund,2024Q1,0.0,Tab.2.9
Liquidity Fund,2024Q1,0.0,Tab.2.9
Qualifying Hedge Fund,2024Q2,0.532,Tab.2.9
Hedge Fund,2024Q2,0.483,Tab.2.9
Securitized Asset Fund,2024Q2,0.533,Tab.2.9
Real Estate Fund,2024Q2,0.14,Tab.2.9
Other Private Fund,2024Q2,0.052,Tab.2.9
Section 4 Private Equity Fund,2024Q2,0.05,Tab.2.9
Private Equity Fund,2024Q2,0.048,Tab.2.9
Venture Capital Fund,2024Q2,0.006,Tab.2.9
Section 3 Liquidity Fund,2024Q2,0.0,Tab.2.9
Liquidity Fund,2024Q2,0.0,Tab.2.9
Qualifying Hedge Fund,2024Q3,0.554,Tab.2.9
Hedge Fund,2024Q3,0.508,Tab.2.9
Securitized Asset Fund,2024Q3,0.529,Tab.2.9
Real Estate Fund,2024Q3,0.143,Tab.2.9
Other Private Fund,2024Q3,0.052,Tab.2.9
Section 4 Private Equity Fund,2024Q3,0.05,Tab.2.9
Private Equity Fund,2024Q3,0.048,Tab.2.9
Venture Capital Fund,2024Q3,0.006,Tab.2.9
Section 3 Liquidity Fund,2024Q3,0.0,Tab.2.9
Liquidity Fund,2024Q3,0.0,Tab.2.9
Qualifying Hedge Fund,2024Q4,0.542,Tab.2.9
Hedge Fund,2024Q4,0.499,Tab.2.9
Securitized Asset Fund,2024Q4,0.492,Tab.2.9
Real Estate Fund,2024Q4,0.154,Tab.2.9
Other Private Fund,2024Q4,0.057,Tab.2.9
Section 4 Private Equity Fund,2024Q4,0.05,Tab.2.9
Private Equity Fund,2024Q4,0.05,Tab.2.9
Venture Capital Fund,2024Q4,0.008,Tab.2.9
Section 3 Liquidity Fund,2024Q4,0.0,Tab.2.9
Liquidity Fund,2024Q4,0.0,Tab.2.9
Qualifying Hedge Fund,2025Q1,0.56,Tab.2.9
Hedge Fund,2025Q1,0.523,Tab.2.9
Securitized Asset Fund,2025Q1,0.435,Tab.2.9
Real Estate Fund,2025Q1,0.146,Tab.2.9
Other Private Fund,2025Q1,0.057,Tab.2.9
Section 4 Private Equity Fund,2025Q1,0.05,Tab.2.9
Private Equity Fund,2025Q1,0.049,Tab.2.9
Venture Capital Fund,2025Q1,0.007,Tab.2.9
Section 3 Liquidity Fund,2025Q1,0.0,Tab.2.9
Liquidity Fund,2025Q1,0.0,Tab.2.9
