category,quarter,amount,table
Level 2,2018Q1,8,Tab.2.21
Level 3,2018Q1,38,Tab.2.21
Cost-Based,2018Q1,96,Tab.2.21
Level 1,2018Q2,6,Tab.2.21
Level 2,2018Q2,8,Tab.2.21
Level 3,2018Q2,38,Tab.2.21
Cost-Based,2018Q2,96,Tab.2.21
Level 1,2018Q3,6,Tab.2.21
Level 2,2018Q3,8,Tab.2.21
Level 3,2018Q3,38,Tab.2.21
Cost-Based,2018Q3,96,Tab.2.21
Level 1,2018Q4,8,Tab.2.21
Level 2,2018Q4,8,Tab.2.21
Level 3,2018Q4,19,Tab.2.21
Cost-Based,2018Q4,132,Tab.2.21
Level 1,2019Q1,8,Tab.2.21
Level 2,2019Q1,8,Tab.2.21
Level 3,2019Q1,19,Tab.2.21
Cost-Based,2019Q1,137,Tab.2.21
Level 1,2019Q2,8,Tab.2.21
Level 2,2019Q2,8,Tab.2.21
Level 3,2019Q2,19,Tab.2.21
Cost-Based,2019Q2,137,Tab.2.21
Level 1,2019Q3,8,Tab.2.21
Level 2,2019Q3,8,Tab.2.21
Level 3,2019Q3,19,Tab.2.21
Cost-Based,2019Q3,137,Tab.2.21
Level 1,2019Q4,10,Tab.2.21
Level 2,2019Q4,12,Tab.2.21
Level 3,2019Q4,45,Tab.2.21
Cost-Based,2019Q4,169,Tab.2.21
Level 1,2020Q1,10,Tab.2.21
Level 2,2020Q1,12,Tab.2.21
Level 3,2020Q1,44,Tab.2.21
Cost-Based,2020Q1,169,Tab.2.21
Level 1,2020Q2,10,Tab.2.21
Level 2,2020Q2,12,Tab.2.21
Level 3,2020Q2,44,Tab.2.21
Cost-Based,2020Q2,169,Tab.2.21
Level 1,2020Q3,10,Tab.2.21
Level 2,2020Q3,12,Tab.2.21
Level 3,2020Q3,44,Tab.2.21
Cost-Based,2020Q3,169,Tab.2.21
Level 1,2020Q4,11,Tab.2.21
Level 2,2020Q4,21,Tab.2.21
Level 3,2020Q4,21,Tab.2.21
Cost-Based,2020Q4,205,Tab.2.21
Level 1,2021Q1,11,Tab.2.21
Level 2,2021Q1,21,Tab.2.21
Level 3,2021Q1,21,Tab.2.21
Cost-Based,2021Q1,212,Tab.2.21
Level 1,2021Q2,11,Tab.2.21
Level 2,2021Q2,21,Tab.2.21
Level 3,2021Q2,21,Tab.2.21
Cost-Based,2021Q2,212,Tab.2.21
Level 1,2021Q3,10,Tab.2.21
Level 2,2021Q3,21,Tab.2.21
Level 3,2021Q3,21,Tab.2.21
Cost-Based,2021Q3,212,Tab.2.21
Level 1,2021Q4,15,Tab.2.21
Level 2,2021Q4,25,Tab.2.21
Level 3,2021Q4,27,Tab.2.21
Cost-Based,2021Q4,321,Tab.2.21
Level 1,2022Q1,15,Tab.2.21
Level 2,2022Q1,25,Tab.2.21
Level 3,2022Q1,27,Tab.2.21
Cost-Based,2022Q1,314,Tab.2.21
Level 1,2022Q2,15,Tab.2.21
Level 2,2022Q2,25,Tab.2.21
Level 3,2022Q2,27,Tab.2.21
Cost-Based,2022Q2,314,Tab.2.21
Level 1,2022Q3,15,Tab.2.21
Level 2,2022Q3,25,Tab.2.21
Level 3,2022Q3,27,Tab.2.21
Cost-Based,2022Q3,316,Tab.2.21
Level 1,2022Q4,13,Tab.2.21
Level 2,2022Q4,20,Tab.2.21
Level 3,2022Q4,21,Tab.2.21
Cost-Based,2022Q4,342,Tab.2.21
Level 1,2023Q1,14,Tab.2.21
Level 2,2023Q1,20,Tab.2.21
Level 3,2023Q1,21,Tab.2.21
Cost-Based,2023Q1,340,Tab.2.21
Level 1,2023Q2,14,Tab.2.21
Level 2,2023Q2,20,Tab.2.21
Level 3,2023Q2,21,Tab.2.21
Cost-Based,2023Q2,341,Tab.2.21
Level 1,2023Q3,14,Tab.2.21
Level 2,2023Q3,20,Tab.2.21
Level 3,2023Q3,21,Tab.2.21
Cost-Based,2023Q3,339,Tab.2.21
Level 1,2023Q4,14,Tab.2.21
Level 2,2023Q4,22,Tab.2.21
Level 3,2023Q4,20,Tab.2.21
Cost-Based,2023Q4,335,Tab.2.21
Level 1,2024Q1,13,Tab.2.21
Level 2,2024Q1,22,Tab.2.21
Level 3,2024Q1,20,Tab.2.21
Cost-Based,2024Q1,336,Tab.2.21
Level 1,2024Q2,13,Tab.2.21
Level 2,2024Q2,22,Tab.2.21
Level 3,2024Q2,20,Tab.2.21
Cost-Based,2024Q2,335,Tab.2.21
Level 1,2024Q3,13,Tab.2.21
Level 2,2024Q3,22,Tab.2.21
Level 3,2024Q3,20,Tab.2.21
Cost-Based,2024Q3,333,Tab.2.21
Level 1,2024Q4,13,Tab.2.21
Level 2,2024Q4,28,Tab.2.21
Level 3,2024Q4,21,Tab.2.21
Cost-Based,2024Q4,366,Tab.2.21
Level 1,2025Q1,13,Tab.2.21
Level 2,2025Q1,28,Tab.2.21
Level 3,2025Q1,21,Tab.2.21
Cost-Based,2025Q1,366,Tab.2.21
Level 1,2013Q1,108,Tab.2.22
Level 2,2013Q1,44,Tab.2.22
Level 3,2013Q1,682,Tab.2.22
Cost-Based,2013Q1,95,Tab.2.22
Level 1,2013Q2,108,Tab.2.22
Level 2,2013Q2,44,Tab.2.22
Level 3,2013Q2,683,Tab.2.22
Cost-Based,2013Q2,95,Tab.2.22
Level 1,2013Q3,109,Tab.2.22
Level 2,2013Q3,44,Tab.2.22
Level 3,2013Q3,688,Tab.2.22
Cost-Based,2013Q3,95,Tab.2.22
Level 1,2013Q4,128,Tab.2.22
Level 2,2013Q4,66,Tab.2.22
Level 3,2013Q4,758,Tab.2.22
Cost-Based,2013Q4,70,Tab.2.22
Level 1,2014Q1,129,Tab.2.22
Level 2,2014Q1,66,Tab.2.22
Level 3,2014Q1,754,Tab.2.22
Cost-Based,2014Q1,69,Tab.2.22
Level 1,2014Q2,129,Tab.2.22
Level 2,2014Q2,66,Tab.2.22
Level 3,2014Q2,755,Tab.2.22
Cost-Based,2014Q2,69,Tab.2.22
Level 1,2014Q3,128,Tab.2.22
Level 2,2014Q3,66,Tab.2.22
Level 3,2014Q3,756,Tab.2.22
Cost-Based,2014Q3,69,Tab.2.22
Level 1,2014Q4,122,Tab.2.22
Level 2,2014Q4,77,Tab.2.22
Level 3,2014Q4,776,Tab.2.22
Cost-Based,2014Q4,59,Tab.2.22
Level 1,2015Q1,122,Tab.2.22
Level 2,2015Q1,77,Tab.2.22
Level 3,2015Q1,778,Tab.2.22
Cost-Based,2015Q1,59,Tab.2.22
Level 1,2015Q2,122,Tab.2.22
Level 2,2015Q2,76,Tab.2.22
Level 3,2015Q2,777,Tab.2.22
Cost-Based,2015Q2,59,Tab.2.22
Level 1,2015Q3,122,Tab.2.22
Level 2,2015Q3,76,Tab.2.22
Level 3,2015Q3,769,Tab.2.22
Cost-Based,2015Q3,59,Tab.2.22
Level 1,2015Q4,130,Tab.2.22
Level 2,2015Q4,51,Tab.2.22
Level 3,2015Q4,822,Tab.2.22
Cost-Based,2015Q4,80,Tab.2.22
Level 1,2016Q1,130,Tab.2.22
Level 2,2016Q1,51,Tab.2.22
Level 3,2016Q1,824,Tab.2.22
Cost-Based,2016Q1,80,Tab.2.22
Level 1,2016Q2,130,Tab.2.22
Level 2,2016Q2,51,Tab.2.22
Level 3,2016Q2,824,Tab.2.22
Cost-Based,2016Q2,80,Tab.2.22
Level 1,2016Q3,130,Tab.2.22
Level 2,2016Q3,51,Tab.2.22
Level 3,2016Q3,809,Tab.2.22
Cost-Based,2016Q3,80,Tab.2.22
Level 1,2016Q4,108,Tab.2.22
Level 2,2016Q4,69,Tab.2.22
Level 3,2016Q4,956,Tab.2.22
Cost-Based,2016Q4,96,Tab.2.22
Level 1,2017Q1,108,Tab.2.22
Level 2,2017Q1,69,Tab.2.22
Level 3,2017Q1,959,Tab.2.22
Cost-Based,2017Q1,96,Tab.2.22
Level 1,2017Q2,108,Tab.2.22
Level 2,2017Q2,69,Tab.2.22
Level 3,2017Q2,959,Tab.2.22
Cost-Based,2017Q2,96,Tab.2.22
Level 1,2017Q3,107,Tab.2.22
Level 2,2017Q3,69,Tab.2.22
Level 3,2017Q3,958,Tab.2.22
Cost-Based,2017Q3,96,Tab.2.22
Level 1,2017Q4,110,Tab.2.22
Level 2,2017Q4,63,Tab.2.22
Level 3,2017Q4,1128,Tab.2.22
Cost-Based,2017Q4,128,Tab.2.22
Level 1,2018Q1,111,Tab.2.22
Level 2,2018Q1,63,Tab.2.22
Level 3,2018Q1,1160,Tab.2.22
Cost-Based,2018Q1,129,Tab.2.22
Level 1,2018Q2,111,Tab.2.22
Level 2,2018Q2,63,Tab.2.22
Level 3,2018Q2,1160,Tab.2.22
Cost-Based,2018Q2,129,Tab.2.22
Level 1,2018Q3,111,Tab.2.22
Level 2,2018Q3,63,Tab.2.22
Level 3,2018Q3,1160,Tab.2.22
Cost-Based,2018Q3,129,Tab.2.22
Level 1,2018Q4,104,Tab.2.22
Level 2,2018Q4,65,Tab.2.22
Level 3,2018Q4,1364,Tab.2.22
Cost-Based,2018Q4,183,Tab.2.22
Level 1,2019Q1,106,Tab.2.22
Level 2,2019Q1,65,Tab.2.22
Level 3,2019Q1,1398,Tab.2.22
Cost-Based,2019Q1,184,Tab.2.22
Level 1,2019Q2,106,Tab.2.22
Level 2,2019Q2,65,Tab.2.22
Level 3,2019Q2,1398,Tab.2.22
Cost-Based,2019Q2,184,Tab.2.22
Level 1,2019Q3,106,Tab.2.22
Level 2,2019Q3,65,Tab.2.22
Level 3,2019Q3,1398,Tab.2.22
Cost-Based,2019Q3,184,Tab.2.22
Level 1,2019Q4,108,Tab.2.22
Level 2,2019Q4,86,Tab.2.22
Level 3,2019Q4,1666,Tab.2.22
Cost-Based,2019Q4,195,Tab.2.22
Level 1,2020Q1,106,Tab.2.22
Level 2,2020Q1,86,Tab.2.22
Level 3,2020Q1,1704,Tab.2.22
Cost-Based,2020Q1,216,Tab.2.22
Level 1,2020Q2,107,Tab.2.22
Level 2,2020Q2,86,Tab.2.22
Level 3,2020Q2,1704,Tab.2.22
Cost-Based,2020Q2,216,Tab.2.22
Level 1,2020Q3,107,Tab.2.22
Level 2,2020Q3,86,Tab.2.22
Level 3,2020Q3,1704,Tab.2.22
Cost-Based,2020Q3,216,Tab.2.22
Level 1,2020Q4,164,Tab.2.22
Level 2,2020Q4,142,Tab.2.22
Level 3,2020Q4,2266,Tab.2.22
Cost-Based,2020Q4,254,Tab.2.22
Level 1,2021Q1,165,Tab.2.22
Level 2,2021Q1,143,Tab.2.22
Level 3,2021Q1,2343,Tab.2.22
Cost-Based,2021Q1,258,Tab.2.22
Level 1,2021Q2,165,Tab.2.22
Level 2,2021Q2,142,Tab.2.22
Level 3,2021Q2,2352,Tab.2.22
Cost-Based,2021Q2,258,Tab.2.22
Level 1,2021Q3,165,Tab.2.22
Level 2,2021Q3,142,Tab.2.22
Level 3,2021Q3,2352,Tab.2.22
Cost-Based,2021Q3,258,Tab.2.22
Level 1,2021Q4,320,Tab.2.22
Level 2,2021Q4,181,Tab.2.22
Level 3,2021Q4,3157,Tab.2.22
Cost-Based,2021Q4,359,Tab.2.22
Level 1,2022Q1,321,Tab.2.22
Level 2,2022Q1,182,Tab.2.22
Level 3,2022Q1,3141,Tab.2.22
Cost-Based,2022Q1,359,Tab.2.22
Level 1,2022Q2,320,Tab.2.22
Level 2,2022Q2,182,Tab.2.22
Level 3,2022Q2,3140,Tab.2.22
Cost-Based,2022Q2,360,Tab.2.22
Level 1,2022Q3,320,Tab.2.22
Level 2,2022Q3,182,Tab.2.22
Level 3,2022Q3,3140,Tab.2.22
Cost-Based,2022Q3,360,Tab.2.22
Level 1,2022Q4,171,Tab.2.22
Level 2,2022Q4,121,Tab.2.22
Level 3,2022Q4,3508,Tab.2.22
Cost-Based,2022Q4,358,Tab.2.22
Level 1,2023Q1,170,Tab.2.22
Level 2,2023Q1,121,Tab.2.22
Level 3,2023Q1,3459,Tab.2.22
Cost-Based,2023Q1,356,Tab.2.22
Level 1,2023Q2,170,Tab.2.22
Level 2,2023Q2,121,Tab.2.22
Level 3,2023Q2,3461,Tab.2.22
Cost-Based,2023Q2,357,Tab.2.22
Level 1,2023Q3,170,Tab.2.22
Level 2,2023Q3,121,Tab.2.22
Level 3,2023Q3,3461,Tab.2.22
Cost-Based,2023Q3,357,Tab.2.22
Level 1,2023Q4,184,Tab.2.22
Level 2,2023Q4,115,Tab.2.22
Level 3,2023Q4,4036,Tab.2.22
Cost-Based,2023Q4,383,Tab.2.22
Level 1,2024Q1,183,Tab.2.22
Level 2,2024Q1,115,Tab.2.22
Level 3,2024Q1,4038,Tab.2.22
Cost-Based,2024Q1,383,Tab.2.22
Level 1,2024Q2,183,Tab.2.22
Level 2,2024Q2,115,Tab.2.22
Level 3,2024Q2,4038,Tab.2.22
Cost-Based,2024Q2,383,Tab.2.22
Level 1,2024Q3,183,Tab.2.22
Level 2,2024Q3,119,Tab.2.22
Level 3,2024Q3,4038,Tab.2.22
Cost-Based,2024Q3,384,Tab.2.22
Level 1,2024Q4,159,Tab.2.22
Level 2,2024Q4,109,Tab.2.22
Level 3,2024Q4,4500,Tab.2.22
Cost-Based,2024Q4,346,Tab.2.22
Level 1,2025Q1,158,Tab.2.22
Level 2,2025Q1,109,Tab.2.22
Level 3,2025Q1,4568,Tab.2.22
Cost-Based,2025Q1,360,Tab.2.22
Level 1,2013Q1,2,Tab.2.23
Level 2,2013Q1,3,Tab.2.23
Level 3,2013Q1,2,Tab.2.23
Cost-Based,2013Q1,12,Tab.2.23
Level 1,2013Q2,2,Tab.2.23
Level 2,2013Q2,3,Tab.2.23
Level 3,2013Q2,2,Tab.2.23
Cost-Based,2013Q2,12,Tab.2.23
Level 1,2013Q3,2,Tab.2.23
Level 2,2013Q3,3,Tab.2.23
Level 3,2013Q3,2,Tab.2.23
Cost-Based,2013Q3,12,Tab.2.23
Level 1,2013Q4,0,Tab.2.23
Level 2,2013Q4,1,Tab.2.23
Level 3,2013Q4,2,Tab.2.23
Cost-Based,2013Q4,20,Tab.2.23
Level 1,2014Q1,0,Tab.2.23
Level 2,2014Q1,1,Tab.2.23
Level 3,2014Q1,2,Tab.2.23
Cost-Based,2014Q1,20,Tab.2.23
Level 1,2014Q2,0,Tab.2.23
Level 2,2014Q2,1,Tab.2.23
Level 3,2014Q2,2,Tab.2.23
Cost-Based,2014Q2,20,Tab.2.23
Level 1,2014Q3,0,Tab.2.23
Level 2,2014Q3,1,Tab.2.23
Level 3,2014Q3,2,Tab.2.23
Cost-Based,2014Q3,20,Tab.2.23
Level 1,2014Q4,1,Tab.2.23
Level 2,2014Q4,3,Tab.2.23
Level 3,2014Q4,3,Tab.2.23
Cost-Based,2014Q4,26,Tab.2.23
Level 1,2015Q1,1,Tab.2.23
Level 2,2015Q1,3,Tab.2.23
Level 3,2015Q1,3,Tab.2.23
Cost-Based,2015Q1,26,Tab.2.23
Level 1,2015Q2,1,Tab.2.23
Level 2,2015Q2,3,Tab.2.23
Level 3,2015Q2,3,Tab.2.23
Cost-Based,2015Q2,26,Tab.2.23
Level 1,2015Q3,1,Tab.2.23
Level 2,2015Q3,3,Tab.2.23
Level 3,2015Q3,3,Tab.2.23
Cost-Based,2015Q3,26,Tab.2.23
Level 1,2015Q4,1,Tab.2.23
Level 2,2015Q4,1,Tab.2.23
Level 3,2015Q4,2,Tab.2.23
Cost-Based,2015Q4,40,Tab.2.23
Level 1,2016Q1,1,Tab.2.23
Level 2,2016Q1,1,Tab.2.23
Level 3,2016Q1,2,Tab.2.23
Cost-Based,2016Q1,40,Tab.2.23
Level 1,2016Q2,1,Tab.2.23
Level 2,2016Q2,1,Tab.2.23
Level 3,2016Q2,2,Tab.2.23
Cost-Based,2016Q2,40,Tab.2.23
Level 1,2016Q3,1,Tab.2.23
Level 2,2016Q3,1,Tab.2.23
Level 3,2016Q3,2,Tab.2.23
Cost-Based,2016Q3,40,Tab.2.23
Level 1,2016Q4,2,Tab.2.23
Level 2,2016Q4,1,Tab.2.23
Level 3,2016Q4,3,Tab.2.23
Cost-Based,2016Q4,50,Tab.2.23
Level 1,2017Q1,2,Tab.2.23
Level 2,2017Q1,1,Tab.2.23
Level 3,2017Q1,3,Tab.2.23
Cost-Based,2017Q1,50,Tab.2.23
Level 1,2017Q2,2,Tab.2.23
Level 2,2017Q2,1,Tab.2.23
Level 3,2017Q2,3,Tab.2.23
Cost-Based,2017Q2,50,Tab.2.23
Level 1,2017Q3,2,Tab.2.23
Level 2,2017Q3,1,Tab.2.23
Level 3,2017Q3,3,Tab.2.23
Cost-Based,2017Q3,50,Tab.2.23
Level 1,2017Q4,4,Tab.2.23
Level 2,2017Q4,1,Tab.2.23
Level 3,2017Q4,5,Tab.2.23
Cost-Based,2017Q4,65,Tab.2.23
Level 1,2018Q1,4,Tab.2.23
Level 2,2018Q1,1,Tab.2.23
Level 3,2018Q1,6,Tab.2.23
Cost-Based,2018Q1,65,Tab.2.23
Level 1,2018Q2,4,Tab.2.23
Level 2,2018Q2,1,Tab.2.23
Level 3,2018Q2,6,Tab.2.23
Cost-Based,2018Q2,65,Tab.2.23
Level 1,2018Q3,4,Tab.2.23
Level 2,2018Q3,1,Tab.2.23
Level 3,2018Q3,6,Tab.2.23
Cost-Based,2018Q3,65,Tab.2.23
Level 1,2018Q4,5,Tab.2.23
Level 2,2018Q4,1,Tab.2.23
Level 3,2018Q4,6,Tab.2.23
Cost-Based,2018Q4,103,Tab.2.23
Level 1,2019Q1,5,Tab.2.23
Level 2,2019Q1,1,Tab.2.23
Level 3,2019Q1,6,Tab.2.23
Cost-Based,2019Q1,106,Tab.2.23
Level 1,2019Q2,5,Tab.2.23
Level 2,2019Q2,1,Tab.2.23
Level 3,2019Q2,6,Tab.2.23
Cost-Based,2019Q2,106,Tab.2.23
Level 1,2019Q3,5,Tab.2.23
Level 2,2019Q3,1,Tab.2.23
Level 3,2019Q3,6,Tab.2.23
Cost-Based,2019Q3,106,Tab.2.23
Level 1,2019Q4,7,Tab.2.23
Level 2,2019Q4,2,Tab.2.23
Level 3,2019Q4,8,Tab.2.23
Cost-Based,2019Q4,128,Tab.2.23
Level 1,2020Q1,7,Tab.2.23
Level 2,2020Q1,2,Tab.2.23
Level 3,2020Q1,7,Tab.2.23
Cost-Based,2020Q1,128,Tab.2.23
Level 1,2020Q2,7,Tab.2.23
Level 2,2020Q2,2,Tab.2.23
Level 3,2020Q2,7,Tab.2.23
Cost-Based,2020Q2,128,Tab.2.23
Level 1,2020Q3,7,Tab.2.23
Level 2,2020Q3,2,Tab.2.23
Level 3,2020Q3,7,Tab.2.23
Cost-Based,2020Q3,128,Tab.2.23
Level 1,2020Q4,7,Tab.2.23
Level 2,2020Q4,7,Tab.2.23
Level 3,2020Q4,7,Tab.2.23
Cost-Based,2020Q4,160,Tab.2.23
Level 1,2021Q1,7,Tab.2.23
Level 2,2021Q1,7,Tab.2.23
Level 3,2021Q1,7,Tab.2.23
Cost-Based,2021Q1,167,Tab.2.23
Level 1,2021Q2,7,Tab.2.23
Level 2,2021Q2,7,Tab.2.23
Level 3,2021Q2,8,Tab.2.23
Cost-Based,2021Q2,167,Tab.2.23
Level 1,2021Q3,7,Tab.2.23
Level 2,2021Q3,7,Tab.2.23
Level 3,2021Q3,8,Tab.2.23
Cost-Based,2021Q3,167,Tab.2.23
Level 1,2021Q4,11,Tab.2.23
Level 2,2021Q4,6,Tab.2.23
Level 3,2021Q4,9,Tab.2.23
Cost-Based,2021Q4,253,Tab.2.23
Level 1,2022Q1,11,Tab.2.23
Level 2,2022Q1,6,Tab.2.23
Level 3,2022Q1,9,Tab.2.23
Cost-Based,2022Q1,246,Tab.2.23
Level 1,2022Q2,11,Tab.2.23
Level 2,2022Q2,6,Tab.2.23
Level 3,2022Q2,8,Tab.2.23
Cost-Based,2022Q2,246,Tab.2.23
Level 1,2022Q3,11,Tab.2.23
Level 2,2022Q3,6,Tab.2.23
Level 3,2022Q3,8,Tab.2.23
Cost-Based,2022Q3,246,Tab.2.23
Level 1,2022Q4,7,Tab.2.23
Level 2,2022Q4,10,Tab.2.23
Level 3,2022Q4,8,Tab.2.23
Cost-Based,2022Q4,275,Tab.2.23
Level 1,2023Q1,7,Tab.2.23
Level 2,2023Q1,10,Tab.2.23
Level 3,2023Q1,8,Tab.2.23
Cost-Based,2023Q1,272,Tab.2.23
Level 1,2023Q2,7,Tab.2.23
Level 2,2023Q2,10,Tab.2.23
Level 3,2023Q2,8,Tab.2.23
Cost-Based,2023Q2,272,Tab.2.23
Level 1,2023Q3,7,Tab.2.23
Level 2,2023Q3,10,Tab.2.23
Level 3,2023Q3,8,Tab.2.23
Cost-Based,2023Q3,272,Tab.2.23
Level 1,2023Q4,11,Tab.2.23
Level 2,2023Q4,8,Tab.2.23
Level 3,2023Q4,9,Tab.2.23
Cost-Based,2023Q4,265,Tab.2.23
Level 1,2024Q1,11,Tab.2.23
Level 2,2024Q1,8,Tab.2.23
Level 3,2024Q1,9,Tab.2.23
Cost-Based,2024Q1,265,Tab.2.23
Level 1,2024Q2,11,Tab.2.23
Level 2,2024Q2,8,Tab.2.23
Level 3,2024Q2,9,Tab.2.23
Cost-Based,2024Q2,264,Tab.2.23
Level 1,2024Q3,11,Tab.2.23
Level 2,2024Q3,8,Tab.2.23
Level 3,2024Q3,9,Tab.2.23
Cost-Based,2024Q3,266,Tab.2.23
Level 1,2024Q4,7,Tab.2.23
Level 2,2024Q4,26,Tab.2.23
Level 3,2024Q4,8,Tab.2.23
Cost-Based,2024Q4,290,Tab.2.23
Level 1,2025Q1,7,Tab.2.23
Level 2,2025Q1,26,Tab.2.23
Level 3,2025Q1,8,Tab.2.23
Cost-Based,2025Q1,293,Tab.2.23
