fund_universe,country,quarter,share,table
All Private Funds,United States,2013Q1,0.501,Tab.3.1
All Private Funds,Cayman Islands,2013Q1,0.369,Tab.3.1
All Private Funds,Luxembourg,2013Q1,0.01,Tab.3.1
All Private Funds,Ireland,2013Q1,0.045,Tab.3.1
All Private Funds,Bermuda,2013Q1,0.012,Tab.3.1
All Private Funds,United Kingdom,2013Q1,0.012,Tab.3.1
All Private Funds,"Virgin Islands, British",2013Q1,0.027,Tab.3.1
All Private Funds,Other,2013Q1,0.024,Tab.3.1
Qualifying Hedge Funds,Cayman Islands,2013Q1,0.538,Tab.3.1
Qualifying Hedge Funds,United States,2013Q1,0.33,Tab.3.1
Qualifying Hedge Funds,Luxembourg,2013Q1,0.017,Tab.3.1
Qualifying Hedge Funds,Ireland,2013Q1,0.016,Tab.3.1
Qualifying Hedge Funds,"Virgin Islands, British",2013Q1,0.063,Tab.3.1
Qualifying Hedge Funds,Bermuda,2013Q1,0.018,Tab.3.1
Qualifying Hedge Funds,Other,2013Q1,0.019,Tab.3.1
Section 3 Liquidity Funds,United States,2013Q1,0.326,Tab.3.1
Section 3 Liquidity Funds,Cayman Islands,2013Q1,0.08,Tab.3.1
Section 4 Private Equity Funds,United States,2013Q1,0.665,Tab.3.1
Section 4 Private Equity Funds,Cayman Islands,2013Q1,0.283,Tab.3.1
Section 4 Private Equity Funds,Canada,2013Q1,,Tab.3.1
Section 4 Private Equity Funds,United Kingdom,2013Q1,0.016,Tab.3.1
Section 4 Private Equity Funds,Bermuda,2013Q1,,Tab.3.1
Section 4 Private Equity Funds,Other,2013Q1,0.016,Tab.3.1
All Private Funds,United States,2013Q2,0.496,Tab.3.1
All Private Funds,Cayman Islands,2013Q2,0.371,Tab.3.1
All Private Funds,Luxembourg,2013Q2,0.011,Tab.3.1
All Private Funds,Ireland,2013Q2,0.044,Tab.3.1
All Private Funds,Bermuda,2013Q2,0.012,Tab.3.1
All Private Funds,United Kingdom,2013Q2,0.011,Tab.3.1
All Private Funds,"Virgin Islands, British",2013Q2,0.028,Tab.3.1
All Private Funds,Other,2013Q2,0.027,Tab.3.1
Qualifying Hedge Funds,Cayman Islands,2013Q2,0.533,Tab.3.1
Qualifying Hedge Funds,United States,2013Q2,0.324,Tab.3.1
Qualifying Hedge Funds,Luxembourg,2013Q2,0.017,Tab.3.1
Qualifying Hedge Funds,Ireland,2013Q2,0.018,Tab.3.1
Qualifying Hedge Funds,"Virgin Islands, British",2013Q2,0.063,Tab.3.1
Qualifying Hedge Funds,Bermuda,2013Q2,0.018,Tab.3.1
Qualifying Hedge Funds,Other,2013Q2,0.027,Tab.3.1
Section 3 Liquidity Funds,United States,2013Q2,0.329,Tab.3.1
Section 3 Liquidity Funds,Cayman Islands,2013Q2,0.087,Tab.3.1
Section 4 Private Equity Funds,United States,2013Q2,0.662,Tab.3.1
Section 4 Private Equity Funds,Cayman Islands,2013Q2,0.286,Tab.3.1
Section 4 Private Equity Funds,Canada,2013Q2,,Tab.3.1
Section 4 Private Equity Funds,United Kingdom,2013Q2,0.016,Tab.3.1
Section 4 Private Equity Funds,Bermuda,2013Q2,,Tab.3.1
Section 4 Private Equity Funds,Other,2013Q2,0.016,Tab.3.1
All Private Funds,United States,2013Q3,0.494,Tab.3.1
All Private Funds,Cayman Islands,2013Q3,0.374,Tab.3.1
All Private Funds,Luxembourg,2013Q3,0.012,Tab.3.1
All Private Funds,Ireland,2013Q3,0.043,Tab.3.1
All Private Funds,Bermuda,2013Q3,0.012,Tab.3.1
All Private Funds,United Kingdom,2013Q3,0.011,Tab.3.1
All Private Funds,"Virgin Islands, British",2013Q3,0.028,Tab.3.1
All Private Funds,Other,2013Q3,0.026,Tab.3.1
Qualifying Hedge Funds,Cayman Islands,2013Q3,0.536,Tab.3.1
Qualifying Hedge Funds,United States,2013Q3,0.322,Tab.3.1
Qualifying Hedge Funds,Luxembourg,2013Q3,0.018,Tab.3.1
Qualifying Hedge Funds,Ireland,2013Q3,0.02,Tab.3.1
Qualifying Hedge Funds,"Virgin Islands, British",2013Q3,0.063,Tab.3.1
Qualifying Hedge Funds,Bermuda,2013Q3,0.018,Tab.3.1
Qualifying Hedge Funds,Other,2013Q3,0.025,Tab.3.1
Section 3 Liquidity Funds,United States,2013Q3,0.344,Tab.3.1
Section 3 Liquidity Funds,Cayman Islands,2013Q3,0.081,Tab.3.1
Section 4 Private Equity Funds,United States,2013Q3,0.665,Tab.3.1
Section 4 Private Equity Funds,Cayman Islands,2013Q3,0.284,Tab.3.1
Section 4 Private Equity Funds,Canada,2013Q3,,Tab.3.1
Section 4 Private Equity Funds,United Kingdom,2013Q3,0.016,Tab.3.1
Section 4 Private Equity Funds,Bermuda,2013Q3,,Tab.3.1
Section 4 Private Equity Funds,Other,2013Q3,0.016,Tab.3.1
All Private Funds,United States,2013Q4,0.516,Tab.3.1
All Private Funds,Cayman Islands,2013Q4,0.364,Tab.3.1
All Private Funds,Luxembourg,2013Q4,0.012,Tab.3.1
All Private Funds,Ireland,2013Q4,0.041,Tab.3.1
All Private Funds,Bermuda,2013Q4,0.012,Tab.3.1
All Private Funds,United Kingdom,2013Q4,0.007,Tab.3.1
All Private Funds,"Virgin Islands, British",2013Q4,0.027,Tab.3.1
All Private Funds,Other,2013Q4,0.022,Tab.3.1
Qualifying Hedge Funds,Cayman Islands,2013Q4,0.536,Tab.3.1
Qualifying Hedge Funds,United States,2013Q4,0.329,Tab.3.1
Qualifying Hedge Funds,Luxembourg,2013Q4,0.016,Tab.3.1
Qualifying Hedge Funds,Ireland,2013Q4,0.022,Tab.3.1
Qualifying Hedge Funds,"Virgin Islands, British",2013Q4,0.063,Tab.3.1
Qualifying Hedge Funds,Bermuda,2013Q4,0.014,Tab.3.1
Qualifying Hedge Funds,Other,2013Q4,0.02,Tab.3.1
Section 3 Liquidity Funds,United States,2013Q4,0.359,Tab.3.1
Section 3 Liquidity Funds,Cayman Islands,2013Q4,0.079,Tab.3.1
Section 4 Private Equity Funds,United States,2013Q4,0.666,Tab.3.1
Section 4 Private Equity Funds,Cayman Islands,2013Q4,0.281,Tab.3.1
Section 4 Private Equity Funds,Canada,2013Q4,0.015,Tab.3.1
Section 4 Private Equity Funds,United Kingdom,2013Q4,0.013,Tab.3.1
Section 4 Private Equity Funds,Bermuda,2013Q4,0.009,Tab.3.1
Section 4 Private Equity Funds,Other,2013Q4,0.016,Tab.3.1
All Private Funds,United States,2014Q1,0.506,Tab.3.1
All Private Funds,Cayman Islands,2014Q1,0.372,Tab.3.1
All Private Funds,Luxembourg,2014Q1,0.012,Tab.3.1
All Private Funds,Ireland,2014Q1,0.042,Tab.3.1
All Private Funds,Bermuda,2014Q1,0.012,Tab.3.1
All Private Funds,United Kingdom,2014Q1,0.007,Tab.3.1
All Private Funds,"Virgin Islands, British",2014Q1,0.027,Tab.3.1
All Private Funds,Other,2014Q1,0.022,Tab.3.1
Qualifying Hedge Funds,Cayman Islands,2014Q1,0.553,Tab.3.1
Qualifying Hedge Funds,United States,2014Q1,0.313,Tab.3.1
Qualifying Hedge Funds,Luxembourg,2014Q1,0.016,Tab.3.1
Qualifying Hedge Funds,Ireland,2014Q1,0.023,Tab.3.1
Qualifying Hedge Funds,"Virgin Islands, British",2014Q1,0.062,Tab.3.1
Qualifying Hedge Funds,Bermuda,2014Q1,0.013,Tab.3.1
Qualifying Hedge Funds,Other,2014Q1,0.02,Tab.3.1
Section 3 Liquidity Funds,United States,2014Q1,0.332,Tab.3.1
Section 3 Liquidity Funds,Cayman Islands,2014Q1,0.088,Tab.3.1
Section 4 Private Equity Funds,United States,2014Q1,0.664,Tab.3.1
Section 4 Private Equity Funds,Cayman Islands,2014Q1,0.281,Tab.3.1
Section 4 Private Equity Funds,Canada,2014Q1,0.015,Tab.3.1
Section 4 Private Equity Funds,United Kingdom,2014Q1,0.013,Tab.3.1
Section 4 Private Equity Funds,Bermuda,2014Q1,0.009,Tab.3.1
Section 4 Private Equity Funds,Other,2014Q1,0.018,Tab.3.1
All Private Funds,United States,2014Q2,0.502,Tab.3.1
All Private Funds,Cayman Islands,2014Q2,0.375,Tab.3.1
All Private Funds,Luxembourg,2014Q2,0.012,Tab.3.1
All Private Funds,Ireland,2014Q2,0.044,Tab.3.1
All Private Funds,Bermuda,2014Q2,0.012,Tab.3.1
All Private Funds,United Kingdom,2014Q2,0.007,Tab.3.1
All Private Funds,"Virgin Islands, British",2014Q2,0.027,Tab.3.1
All Private Funds,Other,2014Q2,0.021,Tab.3.1
Qualifying Hedge Funds,Cayman Islands,2014Q2,0.553,Tab.3.1
Qualifying Hedge Funds,United States,2014Q2,0.315,Tab.3.1
Qualifying Hedge Funds,Luxembourg,2014Q2,0.016,Tab.3.1
Qualifying Hedge Funds,Ireland,2014Q2,0.023,Tab.3.1
Qualifying Hedge Funds,"Virgin Islands, British",2014Q2,0.061,Tab.3.1
Qualifying Hedge Funds,Bermuda,2014Q2,0.014,Tab.3.1
Qualifying Hedge Funds,Other,2014Q2,0.018,Tab.3.1
Section 3 Liquidity Funds,United States,2014Q2,0.341,Tab.3.1
Section 3 Liquidity Funds,Cayman Islands,2014Q2,,Tab.3.1
Section 4 Private Equity Funds,United States,2014Q2,0.664,Tab.3.1
Section 4 Private Equity Funds,Cayman Islands,2014Q2,0.281,Tab.3.1
Section 4 Private Equity Funds,Canada,2014Q2,0.015,Tab.3.1
Section 4 Private Equity Funds,United Kingdom,2014Q2,0.013,Tab.3.1
Section 4 Private Equity Funds,Bermuda,2014Q2,0.009,Tab.3.1
Section 4 Private Equity Funds,Other,2014Q2,0.018,Tab.3.1
All Private Funds,United States,2014Q3,0.502,Tab.3.1
All Private Funds,Cayman Islands,2014Q3,0.375,Tab.3.1
All Private Funds,Luxembourg,2014Q3,0.012,Tab.3.1
All Private Funds,Ireland,2014Q3,0.046,Tab.3.1
All Private Funds,Bermuda,2014Q3,0.012,Tab.3.1
All Private Funds,United Kingdom,2014Q3,0.007,Tab.3.1
All Private Funds,"Virgin Islands, British",2014Q3,0.027,Tab.3.1
All Private Funds,Other,2014Q3,0.02,Tab.3.1
Qualifying Hedge Funds,Cayman Islands,2014Q3,0.552,Tab.3.1
Qualifying Hedge Funds,United States,2014Q3,0.319,Tab.3.1
Qualifying Hedge Funds,Luxembourg,2014Q3,0.015,Tab.3.1
Qualifying Hedge Funds,Ireland,2014Q3,0.023,Tab.3.1
Qualifying Hedge Funds,"Virgin Islands, British",2014Q3,0.06,Tab.3.1
Qualifying Hedge Funds,Bermuda,2014Q3,0.014,Tab.3.1
Qualifying Hedge Funds,Other,2014Q3,0.017,Tab.3.1
Section 3 Liquidity Funds,United States,2014Q3,0.323,Tab.3.1
Section 3 Liquidity Funds,Cayman Islands,2014Q3,0.082,Tab.3.1
Section 4 Private Equity Funds,United States,2014Q3,0.664,Tab.3.1
Section 4 Private Equity Funds,Cayman Islands,2014Q3,0.281,Tab.3.1
Section 4 Private Equity Funds,Canada,2014Q3,0.015,Tab.3.1
Section 4 Private Equity Funds,United Kingdom,2014Q3,0.013,Tab.3.1
Section 4 Private Equity Funds,Bermuda,2014Q3,0.009,Tab.3.1
Section 4 Private Equity Funds,Other,2014Q3,0.018,Tab.3.1
All Private Funds,United States,2014Q4,0.498,Tab.3.1
All Private Funds,Cayman Islands,2014Q4,0.377,Tab.3.1
All Private Funds,Luxembourg,2014Q4,0.012,Tab.3.1
All Private Funds,Ireland,2014Q4,0.045,Tab.3.1
All Private Funds,Bermuda,2014Q4,0.012,Tab.3.1
All Private Funds,United Kingdom,2014Q4,0.01,Tab.3.1
All Private Funds,"Virgin Islands, British",2014Q4,0.026,Tab.3.1
All Private Funds,Other,2014Q4,0.02,Tab.3.1
Qualifying Hedge Funds,Cayman Islands,2014Q4,0.553,Tab.3.1
Qualifying Hedge Funds,United States,2014Q4,0.317,Tab.3.1
Qualifying Hedge Funds,Luxembourg,2014Q4,0.013,Tab.3.1
Qualifying Hedge Funds,Ireland,2014Q4,0.024,Tab.3.1
Qualifying Hedge Funds,"Virgin Islands, British",2014Q4,0.061,Tab.3.1
Qualifying Hedge Funds,Bermuda,2014Q4,0.013,Tab.3.1
Qualifying Hedge Funds,Other,2014Q4,0.018,Tab.3.1
Section 3 Liquidity Funds,United States,2014Q4,0.306,Tab.3.1
Section 3 Liquidity Funds,Cayman Islands,2014Q4,,Tab.3.1
Section 4 Private Equity Funds,United States,2014Q4,0.633,Tab.3.1
Section 4 Private Equity Funds,Cayman Islands,2014Q4,0.306,Tab.3.1
Section 4 Private Equity Funds,Canada,2014Q4,0.014,Tab.3.1
Section 4 Private Equity Funds,United Kingdom,2014Q4,0.023,Tab.3.1
Section 4 Private Equity Funds,Bermuda,2014Q4,0.01,Tab.3.1
Section 4 Private Equity Funds,Other,2014Q4,0.014,Tab.3.1
All Private Funds,United States,2015Q1,0.495,Tab.3.1
All Private Funds,Cayman Islands,2015Q1,0.378,Tab.3.1
All Private Funds,Luxembourg,2015Q1,0.012,Tab.3.1
All Private Funds,Ireland,2015Q1,0.044,Tab.3.1
All Private Funds,Bermuda,2015Q1,0.012,Tab.3.1
All Private Funds,United Kingdom,2015Q1,0.01,Tab.3.1
All Private Funds,"Virgin Islands, British",2015Q1,0.028,Tab.3.1
All Private Funds,Other,2015Q1,0.02,Tab.3.1
Qualifying Hedge Funds,Cayman Islands,2015Q1,0.558,Tab.3.1
Qualifying Hedge Funds,United States,2015Q1,0.313,Tab.3.1
Qualifying Hedge Funds,Luxembourg,2015Q1,0.012,Tab.3.1
Qualifying Hedge Funds,Ireland,2015Q1,0.022,Tab.3.1
Qualifying Hedge Funds,"Virgin Islands, British",2015Q1,0.062,Tab.3.1
Qualifying Hedge Funds,Bermuda,2015Q1,0.014,Tab.3.1
Qualifying Hedge Funds,Other,2015Q1,0.018,Tab.3.1
Section 3 Liquidity Funds,United States,2015Q1,0.328,Tab.3.1
Section 3 Liquidity Funds,Cayman Islands,2015Q1,,Tab.3.1
Section 4 Private Equity Funds,United States,2015Q1,0.634,Tab.3.1
Section 4 Private Equity Funds,Cayman Islands,2015Q1,0.306,Tab.3.1
Section 4 Private Equity Funds,Canada,2015Q1,0.014,Tab.3.1
Section 4 Private Equity Funds,United Kingdom,2015Q1,0.024,Tab.3.1
Section 4 Private Equity Funds,Bermuda,2015Q1,0.01,Tab.3.1
Section 4 Private Equity Funds,Other,2015Q1,0.012,Tab.3.1
All Private Funds,United States,2015Q2,0.496,Tab.3.1
All Private Funds,Cayman Islands,2015Q2,0.379,Tab.3.1
All Private Funds,Luxembourg,2015Q2,0.012,Tab.3.1
All Private Funds,Ireland,2015Q2,0.044,Tab.3.1
All Private Funds,Bermuda,2015Q2,0.012,Tab.3.1
All Private Funds,United Kingdom,2015Q2,0.01,Tab.3.1
All Private Funds,"Virgin Islands, British",2015Q2,0.027,Tab.3.1
All Private Funds,Other,2015Q2,0.02,Tab.3.1
Qualifying Hedge Funds,Cayman Islands,2015Q2,0.555,Tab.3.1
Qualifying Hedge Funds,United States,2015Q2,0.316,Tab.3.1
Qualifying Hedge Funds,Luxembourg,2015Q2,0.012,Tab.3.1
Qualifying Hedge Funds,Ireland,2015Q2,0.024,Tab.3.1
Qualifying Hedge Funds,"Virgin Islands, British",2015Q2,0.061,Tab.3.1
Qualifying Hedge Funds,Bermuda,2015Q2,0.014,Tab.3.1
Qualifying Hedge Funds,Other,2015Q2,0.018,Tab.3.1
Section 3 Liquidity Funds,United States,2015Q2,0.321,Tab.3.1
Section 3 Liquidity Funds,Cayman Islands,2015Q2,,Tab.3.1
Section 4 Private Equity Funds,United States,2015Q2,0.635,Tab.3.1
Section 4 Private Equity Funds,Cayman Islands,2015Q2,0.305,Tab.3.1
Section 4 Private Equity Funds,Canada,2015Q2,0.014,Tab.3.1
Section 4 Private Equity Funds,United Kingdom,2015Q2,0.024,Tab.3.1
Section 4 Private Equity Funds,Bermuda,2015Q2,0.01,Tab.3.1
Section 4 Private Equity Funds,Other,2015Q2,0.012,Tab.3.1
All Private Funds,United States,2015Q3,0.496,Tab.3.1
All Private Funds,Cayman Islands,2015Q3,0.379,Tab.3.1
All Private Funds,Luxembourg,2015Q3,0.012,Tab.3.1
All Private Funds,Ireland,2015Q3,0.044,Tab.3.1
All Private Funds,Bermuda,2015Q3,0.013,Tab.3.1
All Private Funds,United Kingdom,2015Q3,0.011,Tab.3.1
All Private Funds,"Virgin Islands, British",2015Q3,0.026,Tab.3.1
All Private Funds,Other,2015Q3,0.02,Tab.3.1
Qualifying Hedge Funds,Cayman Islands,2015Q3,0.555,Tab.3.1
Qualifying Hedge Funds,United States,2015Q3,0.316,Tab.3.1
Qualifying Hedge Funds,Luxembourg,2015Q3,0.011,Tab.3.1
Qualifying Hedge Funds,Ireland,2015Q3,0.024,Tab.3.1
Qualifying Hedge Funds,"Virgin Islands, British",2015Q3,0.06,Tab.3.1
Qualifying Hedge Funds,Bermuda,2015Q3,0.015,Tab.3.1
Qualifying Hedge Funds,Other,2015Q3,0.019,Tab.3.1
Section 3 Liquidity Funds,United States,2015Q3,0.322,Tab.3.1
Section 3 Liquidity Funds,Cayman Islands,2015Q3,,Tab.3.1
Section 4 Private Equity Funds,United States,2015Q3,0.632,Tab.3.1
Section 4 Private Equity Funds,Cayman Islands,2015Q3,0.308,Tab.3.1
Section 4 Private Equity Funds,Canada,2015Q3,0.014,Tab.3.1
Section 4 Private Equity Funds,United Kingdom,2015Q3,0.024,Tab.3.1
Section 4 Private Equity Funds,Bermuda,2015Q3,0.01,Tab.3.1
Section 4 Private Equity Funds,Other,2015Q3,0.012,Tab.3.1
All Private Funds,United States,2015Q4,0.501,Tab.3.1
All Private Funds,Cayman Islands,2015Q4,0.378,Tab.3.1
All Private Funds,Luxembourg,2015Q4,0.013,Tab.3.1
All Private Funds,Ireland,2015Q4,0.039,Tab.3.1
All Private Funds,Bermuda,2015Q4,0.013,Tab.3.1
All Private Funds,United Kingdom,2015Q4,0.011,Tab.3.1
All Private Funds,"Virgin Islands, British",2015Q4,0.023,Tab.3.1
All Private Funds,Other,2015Q4,0.022,Tab.3.1
Qualifying Hedge Funds,Cayman Islands,2015Q4,0.557,Tab.3.1
Qualifying Hedge Funds,United States,2015Q4,0.32,Tab.3.1
Qualifying Hedge Funds,Luxembourg,2015Q4,0.012,Tab.3.1
Qualifying Hedge Funds,Ireland,2015Q4,0.025,Tab.3.1
Qualifying Hedge Funds,"Virgin Islands, British",2015Q4,0.054,Tab.3.1
Qualifying Hedge Funds,Bermuda,2015Q4,0.015,Tab.3.1
Qualifying Hedge Funds,Other,2015Q4,0.019,Tab.3.1
Section 3 Liquidity Funds,United States,2015Q4,0.35,Tab.3.1
Section 3 Liquidity Funds,Cayman Islands,2015Q4,,Tab.3.1
Section 4 Private Equity Funds,United States,2015Q4,0.62,Tab.3.1
Section 4 Private Equity Funds,Cayman Islands,2015Q4,0.303,Tab.3.1
Section 4 Private Equity Funds,Canada,2015Q4,0.012,Tab.3.1
Section 4 Private Equity Funds,United Kingdom,2015Q4,0.026,Tab.3.1
Section 4 Private Equity Funds,Bermuda,2015Q4,0.013,Tab.3.1
Section 4 Private Equity Funds,Other,2015Q4,0.027,Tab.3.1
All Private Funds,United States,2016Q1,0.508,Tab.3.1
All Private Funds,Cayman Islands,2016Q1,0.373,Tab.3.1
All Private Funds,Luxembourg,2016Q1,0.013,Tab.3.1
All Private Funds,Ireland,2016Q1,0.038,Tab.3.1
All Private Funds,Bermuda,2016Q1,0.013,Tab.3.1
All Private Funds,United Kingdom,2016Q1,0.011,Tab.3.1
All Private Funds,"Virgin Islands, British",2016Q1,0.024,Tab.3.1
All Private Funds,Other,2016Q1,0.021,Tab.3.1
Qualifying Hedge Funds,Cayman Islands,2016Q1,0.546,Tab.3.1
Qualifying Hedge Funds,United States,2016Q1,0.327,Tab.3.1
Qualifying Hedge Funds,Luxembourg,2016Q1,0.012,Tab.3.1
Qualifying Hedge Funds,Ireland,2016Q1,0.026,Tab.3.1
Qualifying Hedge Funds,"Virgin Islands, British",2016Q1,0.057,Tab.3.1
Qualifying Hedge Funds,Bermuda,2016Q1,0.014,Tab.3.1
Qualifying Hedge Funds,Other,2016Q1,0.018,Tab.3.1
Section 3 Liquidity Funds,United States,2016Q1,0.365,Tab.3.1
Section 3 Liquidity Funds,Cayman Islands,2016Q1,,Tab.3.1
Section 4 Private Equity Funds,United States,2016Q1,0.62,Tab.3.1
Section 4 Private Equity Funds,Cayman Islands,2016Q1,0.303,Tab.3.1
Section 4 Private Equity Funds,Canada,2016Q1,0.012,Tab.3.1
Section 4 Private Equity Funds,United Kingdom,2016Q1,0.026,Tab.3.1
Section 4 Private Equity Funds,Bermuda,2016Q1,0.013,Tab.3.1
Section 4 Private Equity Funds,Other,2016Q1,0.026,Tab.3.1
All Private Funds,United States,2016Q2,0.507,Tab.3.1
All Private Funds,Cayman Islands,2016Q2,0.372,Tab.3.1
All Private Funds,Luxembourg,2016Q2,0.015,Tab.3.1
All Private Funds,Ireland,2016Q2,0.039,Tab.3.1
All Private Funds,Bermuda,2016Q2,0.013,Tab.3.1
All Private Funds,United Kingdom,2016Q2,0.011,Tab.3.1
All Private Funds,"Virgin Islands, British",2016Q2,0.023,Tab.3.1
All Private Funds,Other,2016Q2,0.021,Tab.3.1
Qualifying Hedge Funds,Cayman Islands,2016Q2,0.544,Tab.3.1
Qualifying Hedge Funds,United States,2016Q2,0.331,Tab.3.1
Qualifying Hedge Funds,Luxembourg,2016Q2,0.012,Tab.3.1
Qualifying Hedge Funds,Ireland,2016Q2,0.025,Tab.3.1
Qualifying Hedge Funds,"Virgin Islands, British",2016Q2,0.057,Tab.3.1
Qualifying Hedge Funds,Bermuda,2016Q2,0.014,Tab.3.1
Qualifying Hedge Funds,Other,2016Q2,0.017,Tab.3.1
Section 3 Liquidity Funds,United States,2016Q2,0.341,Tab.3.1
Section 3 Liquidity Funds,Cayman Islands,2016Q2,,Tab.3.1
Section 4 Private Equity Funds,United States,2016Q2,0.62,Tab.3.1
Section 4 Private Equity Funds,Cayman Islands,2016Q2,0.303,Tab.3.1
Section 4 Private Equity Funds,Canada,2016Q2,0.012,Tab.3.1
Section 4 Private Equity Funds,United Kingdom,2016Q2,0.026,Tab.3.1
Section 4 Private Equity Funds,Bermuda,2016Q2,0.013,Tab.3.1
Section 4 Private Equity Funds,Other,2016Q2,0.026,Tab.3.1
All Private Funds,United States,2016Q3,0.508,Tab.3.1
All Private Funds,Cayman Islands,2016Q3,0.371,Tab.3.1
All Private Funds,Luxembourg,2016Q3,0.015,Tab.3.1
All Private Funds,Ireland,2016Q3,0.039,Tab.3.1
All Private Funds,Bermuda,2016Q3,0.012,Tab.3.1
All Private Funds,United Kingdom,2016Q3,0.011,Tab.3.1
All Private Funds,"Virgin Islands, British",2016Q3,0.023,Tab.3.1
All Private Funds,Other,2016Q3,0.021,Tab.3.1
Qualifying Hedge Funds,Cayman Islands,2016Q3,0.537,Tab.3.1
Qualifying Hedge Funds,United States,2016Q3,0.338,Tab.3.1
Qualifying Hedge Funds,Luxembourg,2016Q3,0.013,Tab.3.1
Qualifying Hedge Funds,Ireland,2016Q3,0.026,Tab.3.1
Qualifying Hedge Funds,"Virgin Islands, British",2016Q3,0.055,Tab.3.1
Qualifying Hedge Funds,Bermuda,2016Q3,0.014,Tab.3.1
Qualifying Hedge Funds,Other,2016Q3,0.017,Tab.3.1
Section 3 Liquidity Funds,United States,2016Q3,0.34,Tab.3.1
Section 3 Liquidity Funds,Cayman Islands,2016Q3,,Tab.3.1
Section 4 Private Equity Funds,United States,2016Q3,0.62,Tab.3.1
Section 4 Private Equity Funds,Cayman Islands,2016Q3,0.303,Tab.3.1
Section 4 Private Equity Funds,Canada,2016Q3,0.012,Tab.3.1
Section 4 Private Equity Funds,United Kingdom,2016Q3,0.026,Tab.3.1
Section 4 Private Equity Funds,Bermuda,2016Q3,0.013,Tab.3.1
Section 4 Private Equity Funds,Other,2016Q3,0.027,Tab.3.1
All Private Funds,United States,2016Q4,0.513,Tab.3.1
All Private Funds,Cayman Islands,2016Q4,0.364,Tab.3.1
All Private Funds,Luxembourg,2016Q4,0.014,Tab.3.1
All Private Funds,Ireland,2016Q4,0.043,Tab.3.1
All Private Funds,Bermuda,2016Q4,0.013,Tab.3.1
All Private Funds,United Kingdom,2016Q4,0.011,Tab.3.1
All Private Funds,"Virgin Islands, British",2016Q4,0.022,Tab.3.1
All Private Funds,Other,2016Q4,0.021,Tab.3.1
Qualifying Hedge Funds,Cayman Islands,2016Q4,0.529,Tab.3.1
Qualifying Hedge Funds,United States,2016Q4,0.343,Tab.3.1
Qualifying Hedge Funds,Luxembourg,2016Q4,0.013,Tab.3.1
Qualifying Hedge Funds,Ireland,2016Q4,0.027,Tab.3.1
