fund_universe,country,quarter,share,table
Qualifying Hedge Funds,"Virgin Islands, British",2016Q4,0.055,Tab.3.1
Qualifying Hedge Funds,Bermuda,2016Q4,0.018,Tab.3.1
Qualifying Hedge Funds,Other,2016Q4,0.017,Tab.3.1
Section 3 Liquidity Funds,United States,2016Q4,0.33,Tab.3.1
Section 3 Liquidity Funds,Cayman Islands,2016Q4,,Tab.3.1
Section 4 Private Equity Funds,United States,2016Q4,0.638,Tab.3.1
Section 4 Private Equity Funds,Cayman Islands,2016Q4,0.295,Tab.3.1
Section 4 Private Equity Funds,Canada,2016Q4,0.009,Tab.3.1
Section 4 Private Equity Funds,United Kingdom,2016Q4,0.019,Tab.3.1
Section 4 Private Equity Funds,Bermuda,2016Q4,0.011,Tab.3.1
Section 4 Private Equity Funds,Other,2016Q4,0.029,Tab.3.1
All Private Funds,United States,2017Q1,0.514,Tab.3.1
All Private Funds,Cayman Islands,2017Q1,0.364,Tab.3.1
All Private Funds,Luxembourg,2017Q1,0.015,Tab.3.1
All Private Funds,Ireland,2017Q1,0.042,Tab.3.1
All Private Funds,Bermuda,2017Q1,0.013,Tab.3.1
All Private Funds,United Kingdom,2017Q1,0.011,Tab.3.1
All Private Funds,"Virgin Islands, British",2017Q1,0.022,Tab.3.1
All Private Funds,Other,2017Q1,0.02,Tab.3.1
Qualifying Hedge Funds,Cayman Islands,2017Q1,0.526,Tab.3.1
Qualifying Hedge Funds,United States,2017Q1,0.346,Tab.3.1
Qualifying Hedge Funds,Luxembourg,2017Q1,0.014,Tab.3.1
Qualifying Hedge Funds,Ireland,2017Q1,0.027,Tab.3.1
Qualifying Hedge Funds,"Virgin Islands, British",2017Q1,0.053,Tab.3.1
Qualifying Hedge Funds,Bermuda,2017Q1,0.017,Tab.3.1
Qualifying Hedge Funds,Other,2017Q1,0.017,Tab.3.1
Section 3 Liquidity Funds,United States,2017Q1,0.338,Tab.3.1
Section 3 Liquidity Funds,Cayman Islands,2017Q1,,Tab.3.1
Section 4 Private Equity Funds,United States,2017Q1,0.638,Tab.3.1
Section 4 Private Equity Funds,Cayman Islands,2017Q1,0.294,Tab.3.1
Section 4 Private Equity Funds,Canada,2017Q1,0.009,Tab.3.1
Section 4 Private Equity Funds,United Kingdom,2017Q1,0.019,Tab.3.1
Section 4 Private Equity Funds,Bermuda,2017Q1,0.011,Tab.3.1
Section 4 Private Equity Funds,Other,2017Q1,0.029,Tab.3.1
All Private Funds,United States,2017Q2,0.515,Tab.3.1
All Private Funds,Cayman Islands,2017Q2,0.364,Tab.3.1
All Private Funds,Luxembourg,2017Q2,0.016,Tab.3.1
All Private Funds,Ireland,2017Q2,0.042,Tab.3.1
All Private Funds,Bermuda,2017Q2,0.013,Tab.3.1
All Private Funds,United Kingdom,2017Q2,0.011,Tab.3.1
All Private Funds,"Virgin Islands, British",2017Q2,0.02,Tab.3.1
All Private Funds,Other,2017Q2,0.02,Tab.3.1
Qualifying Hedge Funds,Cayman Islands,2017Q2,0.524,Tab.3.1
Qualifying Hedge Funds,United States,2017Q2,0.35,Tab.3.1
Qualifying Hedge Funds,Luxembourg,2017Q2,0.016,Tab.3.1
Qualifying Hedge Funds,Ireland,2017Q2,0.027,Tab.3.1
Qualifying Hedge Funds,"Virgin Islands, British",2017Q2,0.05,Tab.3.1
Qualifying Hedge Funds,Bermuda,2017Q2,0.017,Tab.3.1
Qualifying Hedge Funds,Other,2017Q2,0.016,Tab.3.1
Section 3 Liquidity Funds,United States,2017Q2,0.367,Tab.3.1
Section 3 Liquidity Funds,Cayman Islands,2017Q2,,Tab.3.1
Section 4 Private Equity Funds,United States,2017Q2,0.638,Tab.3.1
Section 4 Private Equity Funds,Cayman Islands,2017Q2,0.294,Tab.3.1
Section 4 Private Equity Funds,Canada,2017Q2,0.009,Tab.3.1
Section 4 Private Equity Funds,United Kingdom,2017Q2,0.019,Tab.3.1
Section 4 Private Equity Funds,Bermuda,2017Q2,0.011,Tab.3.1
Section 4 Private Equity Funds,Other,2017Q2,0.029,Tab.3.1
All Private Funds,United States,2017Q3,0.51,Tab.3.1
All Private Funds,Cayman Islands,2017Q3,0.366,Tab.3.1
All Private Funds,Luxembourg,2017Q3,0.016,Tab.3.1
All Private Funds,Ireland,2017Q3,0.043,Tab.3.1
All Private Funds,Bermuda,2017Q3,0.013,Tab.3.1
All Private Funds,United Kingdom,2017Q3,0.011,Tab.3.1
All Private Funds,"Virgin Islands, British",2017Q3,0.02,Tab.3.1
All Private Funds,Other,2017Q3,0.021,Tab.3.1
Qualifying Hedge Funds,Cayman Islands,2017Q3,0.517,Tab.3.1
Qualifying Hedge Funds,United States,2017Q3,0.353,Tab.3.1
Qualifying Hedge Funds,Luxembourg,2017Q3,0.017,Tab.3.1
Qualifying Hedge Funds,Ireland,2017Q3,0.028,Tab.3.1
Qualifying Hedge Funds,"Virgin Islands, British",2017Q3,0.048,Tab.3.1
Qualifying Hedge Funds,Bermuda,2017Q3,0.017,Tab.3.1
Qualifying Hedge Funds,Other,2017Q3,0.02,Tab.3.1
Section 3 Liquidity Funds,United States,2017Q3,0.345,Tab.3.1
Section 3 Liquidity Funds,Cayman Islands,2017Q3,,Tab.3.1
Section 4 Private Equity Funds,United States,2017Q3,0.637,Tab.3.1
Section 4 Private Equity Funds,Cayman Islands,2017Q3,0.295,Tab.3.1
Section 4 Private Equity Funds,Canada,2017Q3,0.009,Tab.3.1
Section 4 Private Equity Funds,United Kingdom,2017Q3,0.02,Tab.3.1
Section 4 Private Equity Funds,Bermuda,2017Q3,0.011,Tab.3.1
Section 4 Private Equity Funds,Other,2017Q3,0.029,Tab.3.1
All Private Funds,United States,2017Q4,0.514,Tab.3.1
All Private Funds,Cayman Islands,2017Q4,0.354,Tab.3.1
All Private Funds,Luxembourg,2017Q4,0.019,Tab.3.1
All Private Funds,Ireland,2017Q4,0.044,Tab.3.1
All Private Funds,Bermuda,2017Q4,0.012,Tab.3.1
All Private Funds,United Kingdom,2017Q4,0.013,Tab.3.1
All Private Funds,"Virgin Islands, British",2017Q4,0.018,Tab.3.1
All Private Funds,Other,2017Q4,0.026,Tab.3.1
Qualifying Hedge Funds,Cayman Islands,2017Q4,0.513,Tab.3.1
Qualifying Hedge Funds,United States,2017Q4,0.358,Tab.3.1
Qualifying Hedge Funds,Luxembourg,2017Q4,0.019,Tab.3.1
Qualifying Hedge Funds,Ireland,2017Q4,0.029,Tab.3.1
Qualifying Hedge Funds,"Virgin Islands, British",2017Q4,0.045,Tab.3.1
Qualifying Hedge Funds,Bermuda,2017Q4,0.016,Tab.3.1
Qualifying Hedge Funds,Other,2017Q4,0.02,Tab.3.1
Section 3 Liquidity Funds,United States,2017Q4,0.349,Tab.3.1
Section 3 Liquidity Funds,Cayman Islands,2017Q4,,Tab.3.1
Section 4 Private Equity Funds,United States,2017Q4,0.607,Tab.3.1
Section 4 Private Equity Funds,Cayman Islands,2017Q4,0.304,Tab.3.1
Section 4 Private Equity Funds,Canada,2017Q4,0.01,Tab.3.1
Section 4 Private Equity Funds,United Kingdom,2017Q4,0.027,Tab.3.1
Section 4 Private Equity Funds,Bermuda,2017Q4,0.01,Tab.3.1
Section 4 Private Equity Funds,Other,2017Q4,0.042,Tab.3.1
All Private Funds,United States,2018Q1,0.51,Tab.3.1
All Private Funds,Cayman Islands,2018Q1,0.352,Tab.3.1
All Private Funds,Luxembourg,2018Q1,0.02,Tab.3.1
All Private Funds,Ireland,2018Q1,0.044,Tab.3.1
All Private Funds,Bermuda,2018Q1,0.012,Tab.3.1
All Private Funds,United Kingdom,2018Q1,0.013,Tab.3.1
All Private Funds,"Virgin Islands, British",2018Q1,0.018,Tab.3.1
All Private Funds,Other,2018Q1,0.029,Tab.3.1
Qualifying Hedge Funds,Cayman Islands,2018Q1,0.51,Tab.3.1
Qualifying Hedge Funds,United States,2018Q1,0.356,Tab.3.1
Qualifying Hedge Funds,Luxembourg,2018Q1,0.02,Tab.3.1
Qualifying Hedge Funds,Ireland,2018Q1,0.031,Tab.3.1
Qualifying Hedge Funds,"Virgin Islands, British",2018Q1,0.044,Tab.3.1
Qualifying Hedge Funds,Bermuda,2018Q1,0.017,Tab.3.1
Qualifying Hedge Funds,Other,2018Q1,0.021,Tab.3.1
Section 3 Liquidity Funds,United States,2018Q1,0.357,Tab.3.1
Section 3 Liquidity Funds,Cayman Islands,2018Q1,,Tab.3.1
Section 4 Private Equity Funds,United States,2018Q1,0.595,Tab.3.1
Section 4 Private Equity Funds,Cayman Islands,2018Q1,0.298,Tab.3.1
Section 4 Private Equity Funds,Canada,2018Q1,0.01,Tab.3.1
Section 4 Private Equity Funds,United Kingdom,2018Q1,0.029,Tab.3.1
Section 4 Private Equity Funds,Bermuda,2018Q1,0.011,Tab.3.1
Section 4 Private Equity Funds,Other,2018Q1,0.057,Tab.3.1
All Private Funds,United States,2018Q2,0.509,Tab.3.1
All Private Funds,Cayman Islands,2018Q2,0.352,Tab.3.1
All Private Funds,Luxembourg,2018Q2,0.022,Tab.3.1
All Private Funds,Ireland,2018Q2,0.045,Tab.3.1
All Private Funds,Bermuda,2018Q2,0.012,Tab.3.1
All Private Funds,United Kingdom,2018Q2,0.013,Tab.3.1
All Private Funds,"Virgin Islands, British",2018Q2,0.018,Tab.3.1
All Private Funds,Other,2018Q2,0.029,Tab.3.1
Qualifying Hedge Funds,Cayman Islands,2018Q2,0.509,Tab.3.1
Qualifying Hedge Funds,United States,2018Q2,0.355,Tab.3.1
Qualifying Hedge Funds,Luxembourg,2018Q2,0.024,Tab.3.1
Qualifying Hedge Funds,Ireland,2018Q2,0.032,Tab.3.1
Qualifying Hedge Funds,"Virgin Islands, British",2018Q2,0.044,Tab.3.1
Qualifying Hedge Funds,Bermuda,2018Q2,0.018,Tab.3.1
Qualifying Hedge Funds,Other,2018Q2,0.02,Tab.3.1
Section 3 Liquidity Funds,United States,2018Q2,0.368,Tab.3.1
Section 3 Liquidity Funds,Cayman Islands,2018Q2,,Tab.3.1
Section 4 Private Equity Funds,United States,2018Q2,0.595,Tab.3.1
Section 4 Private Equity Funds,Cayman Islands,2018Q2,0.298,Tab.3.1
Section 4 Private Equity Funds,Canada,2018Q2,0.01,Tab.3.1
Section 4 Private Equity Funds,United Kingdom,2018Q2,0.029,Tab.3.1
Section 4 Private Equity Funds,Bermuda,2018Q2,0.011,Tab.3.1
Section 4 Private Equity Funds,Other,2018Q2,0.057,Tab.3.1
All Private Funds,United States,2018Q3,0.509,Tab.3.1
All Private Funds,Cayman Islands,2018Q3,0.351,Tab.3.1
All Private Funds,Luxembourg,2018Q3,0.022,Tab.3.1
All Private Funds,Ireland,2018Q3,0.046,Tab.3.1
All Private Funds,Bermuda,2018Q3,0.012,Tab.3.1
All Private Funds,United Kingdom,2018Q3,0.013,Tab.3.1
All Private Funds,"Virgin Islands, British",2018Q3,0.017,Tab.3.1
All Private Funds,Other,2018Q3,0.03,Tab.3.1
Qualifying Hedge Funds,Cayman Islands,2018Q3,0.507,Tab.3.1
Qualifying Hedge Funds,United States,2018Q3,0.351,Tab.3.1
Qualifying Hedge Funds,Luxembourg,2018Q3,0.027,Tab.3.1
Qualifying Hedge Funds,Ireland,2018Q3,0.033,Tab.3.1
Qualifying Hedge Funds,"Virgin Islands, British",2018Q3,0.042,Tab.3.1
Qualifying Hedge Funds,Bermuda,2018Q3,0.018,Tab.3.1
Qualifying Hedge Funds,Other,2018Q3,0.022,Tab.3.1
Section 3 Liquidity Funds,United States,2018Q3,0.367,Tab.3.1
Section 3 Liquidity Funds,Cayman Islands,2018Q3,,Tab.3.1
Section 4 Private Equity Funds,United States,2018Q3,0.595,Tab.3.1
Section 4 Private Equity Funds,Cayman Islands,2018Q3,0.298,Tab.3.1
Section 4 Private Equity Funds,Canada,2018Q3,0.01,Tab.3.1
Section 4 Private Equity Funds,United Kingdom,2018Q3,0.029,Tab.3.1
Section 4 Private Equity Funds,Bermuda,2018Q3,0.011,Tab.3.1
Section 4 Private Equity Funds,Other,2018Q3,0.057,Tab.3.1
All Private Funds,United States,2018Q4,0.515,Tab.3.1
All Private Funds,Cayman Islands,2018Q4,0.339,Tab.3.1
All Private Funds,Luxembourg,2018Q4,0.029,Tab.3.1
All Private Funds,Ireland,2018Q4,0.046,Tab.3.1
All Private Funds,Bermuda,2018Q4,0.011,Tab.3.1
All Private Funds,United Kingdom,2018Q4,0.013,Tab.3.1
All Private Funds,"Virgin Islands, British",2018Q4,0.015,Tab.3.1
All Private Funds,Other,2018Q4,0.032,Tab.3.1
Qualifying Hedge Funds,Cayman Islands,2018Q4,0.506,Tab.3.1
Qualifying Hedge Funds,United States,2018Q4,0.356,Tab.3.1
Qualifying Hedge Funds,Luxembourg,2018Q4,0.026,Tab.3.1
Qualifying Hedge Funds,Ireland,2018Q4,0.032,Tab.3.1
Qualifying Hedge Funds,"Virgin Islands, British",2018Q4,0.041,Tab.3.1
Qualifying Hedge Funds,Bermuda,2018Q4,0.02,Tab.3.1
Qualifying Hedge Funds,Other,2018Q4,0.019,Tab.3.1
Section 3 Liquidity Funds,United States,2018Q4,0.328,Tab.3.1
Section 3 Liquidity Funds,Cayman Islands,2018Q4,,Tab.3.1
Section 4 Private Equity Funds,United States,2018Q4,0.569,Tab.3.1
Section 4 Private Equity Funds,Cayman Islands,2018Q4,0.306,Tab.3.1
Section 4 Private Equity Funds,Canada,2018Q4,0.011,Tab.3.1
Section 4 Private Equity Funds,United Kingdom,2018Q4,0.023,Tab.3.1
Section 4 Private Equity Funds,Bermuda,2018Q4,0.01,Tab.3.1
Section 4 Private Equity Funds,Other,2018Q4,0.082,Tab.3.1
All Private Funds,United States,2019Q1,0.506,Tab.3.1
All Private Funds,Cayman Islands,2019Q1,0.346,Tab.3.1
All Private Funds,Luxembourg,2019Q1,0.03,Tab.3.1
All Private Funds,Ireland,2019Q1,0.045,Tab.3.1
All Private Funds,Bermuda,2019Q1,0.011,Tab.3.1
All Private Funds,United Kingdom,2019Q1,0.012,Tab.3.1
All Private Funds,"Virgin Islands, British",2019Q1,0.015,Tab.3.1
All Private Funds,Other,2019Q1,0.036,Tab.3.1
Qualifying Hedge Funds,Cayman Islands,2019Q1,0.515,Tab.3.1
Qualifying Hedge Funds,United States,2019Q1,0.347,Tab.3.1
Qualifying Hedge Funds,Luxembourg,2019Q1,0.027,Tab.3.1
Qualifying Hedge Funds,Ireland,2019Q1,0.032,Tab.3.1
Qualifying Hedge Funds,"Virgin Islands, British",2019Q1,0.039,Tab.3.1
Qualifying Hedge Funds,Bermuda,2019Q1,0.019,Tab.3.1
Qualifying Hedge Funds,Other,2019Q1,0.02,Tab.3.1
Section 3 Liquidity Funds,United States,2019Q1,0.299,Tab.3.1
Section 3 Liquidity Funds,Cayman Islands,2019Q1,,Tab.3.1
Section 4 Private Equity Funds,United States,2019Q1,0.56,Tab.3.1
Section 4 Private Equity Funds,Cayman Islands,2019Q1,0.301,Tab.3.1
Section 4 Private Equity Funds,Canada,2019Q1,0.011,Tab.3.1
Section 4 Private Equity Funds,United Kingdom,2019Q1,0.023,Tab.3.1
Section 4 Private Equity Funds,Bermuda,2019Q1,0.009,Tab.3.1
Section 4 Private Equity Funds,Other,2019Q1,0.096,Tab.3.1
All Private Funds,United States,2019Q2,0.504,Tab.3.1
All Private Funds,Cayman Islands,2019Q2,0.348,Tab.3.1
All Private Funds,Luxembourg,2019Q2,0.03,Tab.3.1
All Private Funds,Ireland,2019Q2,0.045,Tab.3.1
All Private Funds,Bermuda,2019Q2,0.011,Tab.3.1
All Private Funds,United Kingdom,2019Q2,0.012,Tab.3.1
All Private Funds,"Virgin Islands, British",2019Q2,0.015,Tab.3.1
All Private Funds,Other,2019Q2,0.035,Tab.3.1
Qualifying Hedge Funds,Cayman Islands,2019Q2,0.52,Tab.3.1
Qualifying Hedge Funds,United States,2019Q2,0.345,Tab.3.1
Qualifying Hedge Funds,Luxembourg,2019Q2,0.028,Tab.3.1
Qualifying Hedge Funds,Ireland,2019Q2,0.032,Tab.3.1
Qualifying Hedge Funds,"Virgin Islands, British",2019Q2,0.039,Tab.3.1
Qualifying Hedge Funds,Bermuda,2019Q2,0.018,Tab.3.1
Qualifying Hedge Funds,Other,2019Q2,0.019,Tab.3.1
Section 3 Liquidity Funds,United States,2019Q2,0.296,Tab.3.1
Section 3 Liquidity Funds,Cayman Islands,2019Q2,,Tab.3.1
Section 4 Private Equity Funds,United States,2019Q2,0.56,Tab.3.1
Section 4 Private Equity Funds,Cayman Islands,2019Q2,0.301,Tab.3.1
Section 4 Private Equity Funds,Canada,2019Q2,0.011,Tab.3.1
Section 4 Private Equity Funds,United Kingdom,2019Q2,0.023,Tab.3.1
Section 4 Private Equity Funds,Bermuda,2019Q2,0.009,Tab.3.1
Section 4 Private Equity Funds,Other,2019Q2,0.096,Tab.3.1
All Private Funds,United States,2019Q3,0.505,Tab.3.1
All Private Funds,Cayman Islands,2019Q3,0.346,Tab.3.1
All Private Funds,Luxembourg,2019Q3,0.029,Tab.3.1
All Private Funds,Ireland,2019Q3,0.047,Tab.3.1
All Private Funds,Bermuda,2019Q3,0.012,Tab.3.1
All Private Funds,United Kingdom,2019Q3,0.012,Tab.3.1
All Private Funds,"Virgin Islands, British",2019Q3,0.015,Tab.3.1
All Private Funds,Other,2019Q3,0.035,Tab.3.1
Qualifying Hedge Funds,Cayman Islands,2019Q3,0.516,Tab.3.1
Qualifying Hedge Funds,United States,2019Q3,0.347,Tab.3.1
Qualifying Hedge Funds,Luxembourg,2019Q3,0.028,Tab.3.1
Qualifying Hedge Funds,Ireland,2019Q3,0.031,Tab.3.1
Qualifying Hedge Funds,"Virgin Islands, British",2019Q3,0.039,Tab.3.1
Qualifying Hedge Funds,Bermuda,2019Q3,0.021,Tab.3.1
Qualifying Hedge Funds,Other,2019Q3,0.019,Tab.3.1
Section 3 Liquidity Funds,United States,2019Q3,0.264,Tab.3.1
Section 3 Liquidity Funds,Cayman Islands,2019Q3,,Tab.3.1
Section 4 Private Equity Funds,United States,2019Q3,0.56,Tab.3.1
Section 4 Private Equity Funds,Cayman Islands,2019Q3,0.301,Tab.3.1
Section 4 Private Equity Funds,Canada,2019Q3,0.011,Tab.3.1
Section 4 Private Equity Funds,United Kingdom,2019Q3,0.023,Tab.3.1
Section 4 Private Equity Funds,Bermuda,2019Q3,0.009,Tab.3.1
Section 4 Private Equity Funds,Other,2019Q3,0.096,Tab.3.1
All Private Funds,United States,2019Q4,0.512,Tab.3.1
All Private Funds,Cayman Islands,2019Q4,0.345,Tab.3.1
All Private Funds,Luxembourg,2019Q4,0.032,Tab.3.1
All Private Funds,Ireland,2019Q4,0.046,Tab.3.1
All Private Funds,Bermuda,2019Q4,0.011,Tab.3.1
All Private Funds,United Kingdom,2019Q4,0.011,Tab.3.1
All Private Funds,"Virgin Islands, British",2019Q4,0.013,Tab.3.1
All Private Funds,Other,2019Q4,0.031,Tab.3.1
Qualifying Hedge Funds,Cayman Islands,2019Q4,0.515,Tab.3.1
Qualifying Hedge Funds,United States,2019Q4,0.35,Tab.3.1
Qualifying Hedge Funds,Luxembourg,2019Q4,0.027,Tab.3.1
Qualifying Hedge Funds,Ireland,2019Q4,0.032,Tab.3.1
Qualifying Hedge Funds,"Virgin Islands, British",2019Q4,0.036,Tab.3.1
Qualifying Hedge Funds,Bermuda,2019Q4,0.021,Tab.3.1
Qualifying Hedge Funds,Other,2019Q4,0.019,Tab.3.1
Section 3 Liquidity Funds,United States,2019Q4,0.221,Tab.3.1
Section 3 Liquidity Funds,Cayman Islands,2019Q4,,Tab.3.1
Section 4 Private Equity Funds,United States,2019Q4,0.562,Tab.3.1
Section 4 Private Equity Funds,Cayman Islands,2019Q4,0.32,Tab.3.1
Section 4 Private Equity Funds,Canada,2019Q4,0.017,Tab.3.1
Section 4 Private Equity Funds,United Kingdom,2019Q4,0.019,Tab.3.1
Section 4 Private Equity Funds,Bermuda,2019Q4,0.01,Tab.3.1
Section 4 Private Equity Funds,Other,2019Q4,0.072,Tab.3.1
All Private Funds,United States,2020Q1,0.514,Tab.3.1
All Private Funds,Cayman Islands,2020Q1,0.341,Tab.3.1
All Private Funds,Luxembourg,2020Q1,0.031,Tab.3.1
All Private Funds,Ireland,2020Q1,0.045,Tab.3.1
All Private Funds,Bermuda,2020Q1,0.011,Tab.3.1
All Private Funds,United Kingdom,2020Q1,0.01,Tab.3.1
All Private Funds,"Virgin Islands, British",2020Q1,0.011,Tab.3.1
All Private Funds,Other,2020Q1,0.037,Tab.3.1
Qualifying Hedge Funds,Cayman Islands,2020Q1,0.526,Tab.3.1
Qualifying Hedge Funds,United States,2020Q1,0.348,Tab.3.1
Qualifying Hedge Funds,Luxembourg,2020Q1,0.026,Tab.3.1
Qualifying Hedge Funds,Ireland,2020Q1,0.029,Tab.3.1
Qualifying Hedge Funds,"Virgin Islands, British",2020Q1,0.032,Tab.3.1
Qualifying Hedge Funds,Bermuda,2020Q1,0.022,Tab.3.1
Qualifying Hedge Funds,Other,2020Q1,0.017,Tab.3.1
Section 3 Liquidity Funds,United States,2020Q1,0.251,Tab.3.1
Section 3 Liquidity Funds,Cayman Islands,2020Q1,,Tab.3.1
Section 4 Private Equity Funds,United States,2020Q1,0.55,Tab.3.1
Section 4 Private Equity Funds,Cayman Islands,2020Q1,0.314,Tab.3.1
Section 4 Private Equity Funds,Canada,2020Q1,0.018,Tab.3.1
Section 4 Private Equity Funds,United Kingdom,2020Q1,0.017,Tab.3.1
Section 4 Private Equity Funds,Bermuda,2020Q1,0.01,Tab.3.1
Section 4 Private Equity Funds,Other,2020Q1,0.091,Tab.3.1
All Private Funds,United States,2020Q2,0.508,Tab.3.1
All Private Funds,Cayman Islands,2020Q2,0.346,Tab.3.1
All Private Funds,Luxembourg,2020Q2,0.031,Tab.3.1
All Private Funds,Ireland,2020Q2,0.046,Tab.3.1
All Private Funds,Bermuda,2020Q2,0.011,Tab.3.1
All Private Funds,United Kingdom,2020Q2,0.01,Tab.3.1
All Private Funds,"Virgin Islands, British",2020Q2,0.011,Tab.3.1
All Private Funds,Other,2020Q2,0.037,Tab.3.1
Qualifying Hedge Funds,Cayman Islands,2020Q2,0.526,Tab.3.1
Qualifying Hedge Funds,United States,2020Q2,0.35,Tab.3.1
Qualifying Hedge Funds,Luxembourg,2020Q2,0.025,Tab.3.1
Qualifying Hedge Funds,Ireland,2020Q2,0.031,Tab.3.1
Qualifying Hedge Funds,"Virgin Islands, British",2020Q2,0.03,Tab.3.1
Qualifying Hedge Funds,Bermuda,2020Q2,0.02,Tab.3.1
Qualifying Hedge Funds,Other,2020Q2,0.018,Tab.3.1
Section 3 Liquidity Funds,United States,2020Q2,0.241,Tab.3.1
Section 3 Liquidity Funds,Cayman Islands,2020Q2,,Tab.3.1
Section 4 Private Equity Funds,United States,2020Q2,0.551,Tab.3.1
Section 4 Private Equity Funds,Cayman Islands,2020Q2,0.313,Tab.3.1
Section 4 Private Equity Funds,Canada,2020Q2,0.018,Tab.3.1
Section 4 Private Equity Funds,United Kingdom,2020Q2,0.017,Tab.3.1
Section 4 Private Equity Funds,Bermuda,2020Q2,0.01,Tab.3.1
Section 4 Private Equity Funds,Other,2020Q2,0.091,Tab.3.1
All Private Funds,United States,2020Q3,0.503,Tab.3.1
All Private Funds,Cayman Islands,2020Q3,0.35,Tab.3.1
All Private Funds,Luxembourg,2020Q3,0.032,Tab.3.1
All Private Funds,Ireland,2020Q3,0.048,Tab.3.1
All Private Funds,Bermuda,2020Q3,0.01,Tab.3.1
All Private Funds,United Kingdom,2020Q3,0.01,Tab.3.1
All Private Funds,"Virgin Islands, British",2020Q3,0.011,Tab.3.1
All Private Funds,Other,2020Q3,0.036,Tab.3.1
Qualifying Hedge Funds,Cayman Islands,2020Q3,0.533,Tab.3.1
Qualifying Hedge Funds,United States,2020Q3,0.344,Tab.3.1
Qualifying Hedge Funds,Luxembourg,2020Q3,0.026,Tab.3.1
Qualifying Hedge Funds,Ireland,2020Q3,0.031,Tab.3.1
Qualifying Hedge Funds,"Virgin Islands, British",2020Q3,0.029,Tab.3.1
Qualifying Hedge Funds,Bermuda,2020Q3,0.019,Tab.3.1
Qualifying Hedge Funds,Other,2020Q3,0.018,Tab.3.1
Section 3 Liquidity Funds,United States,2020Q3,0.229,Tab.3.1
Section 3 Liquidity Funds,Cayman Islands,2020Q3,,Tab.3.1
Section 4 Private Equity Funds,United States,2020Q3,0.551,Tab.3.1
Section 4 Private Equity Funds,Cayman Islands,2020Q3,0.313,Tab.3.1
Section 4 Private Equity Funds,Canada,2020Q3,0.018,Tab.3.1
Section 4 Private Equity Funds,United Kingdom,2020Q3,0.017,Tab.3.1
Section 4 Private Equity Funds,Bermuda,2020Q3,0.01,Tab.3.1
Section 4 Private Equity Funds,Other,2020Q3,0.091,Tab.3.1
