fund_universe,country,quarter,share,table
Qualifying Hedge Funds,Bermuda,2024Q3,0.016,Tab.3.1
Qualifying Hedge Funds,Other,2024Q3,0.016,Tab.3.1
Section 3 Liquidity Funds,United States,2024Q3,0.221,Tab.3.1
Section 3 Liquidity Funds,Cayman Islands,2024Q3,,Tab.3.1
Section 4 Private Equity Funds,United States,2024Q3,0.579,Tab.3.1
Section 4 Private Equity Funds,Cayman Islands,2024Q3,0.274,Tab.3.1
Section 4 Private Equity Funds,Canada,2024Q3,0.023,Tab.3.1
Section 4 Private Equity Funds,United Kingdom,2024Q3,0.013,Tab.3.1
Section 4 Private Equity Funds,Bermuda,2024Q3,0.011,Tab.3.1
Section 4 Private Equity Funds,Other,2024Q3,0.1,Tab.3.1
All Private Funds,United States,2024Q4,0.545,Tab.3.1
All Private Funds,Cayman Islands,2024Q4,0.307,Tab.3.1
All Private Funds,Luxembourg,2024Q4,0.05,Tab.3.1
All Private Funds,Ireland,2024Q4,0.034,Tab.3.1
All Private Funds,Bermuda,2024Q4,0.01,Tab.3.1
All Private Funds,United Kingdom,2024Q4,0.009,Tab.3.1
All Private Funds,"Virgin Islands, British",2024Q4,0.006,Tab.3.1
All Private Funds,Other,2024Q4,0.039,Tab.3.1
Qualifying Hedge Funds,Cayman Islands,2024Q4,0.54,Tab.3.1
Qualifying Hedge Funds,United States,2024Q4,0.358,Tab.3.1
Qualifying Hedge Funds,Luxembourg,2024Q4,0.027,Tab.3.1
Qualifying Hedge Funds,Ireland,2024Q4,0.026,Tab.3.1
Qualifying Hedge Funds,"Virgin Islands, British",2024Q4,0.02,Tab.3.1
Qualifying Hedge Funds,Bermuda,2024Q4,0.016,Tab.3.1
Qualifying Hedge Funds,Other,2024Q4,0.014,Tab.3.1
Section 3 Liquidity Funds,United States,2024Q4,0.203,Tab.3.1
Section 3 Liquidity Funds,Cayman Islands,2024Q4,,Tab.3.1
Section 4 Private Equity Funds,United States,2024Q4,0.604,Tab.3.1
Section 4 Private Equity Funds,Cayman Islands,2024Q4,0.247,Tab.3.1
Section 4 Private Equity Funds,Canada,2024Q4,0.025,Tab.3.1
Section 4 Private Equity Funds,United Kingdom,2024Q4,0.012,Tab.3.1
Section 4 Private Equity Funds,Bermuda,2024Q4,0.01,Tab.3.1
Section 4 Private Equity Funds,Other,2024Q4,0.102,Tab.3.1
All Private Funds,United States,2025Q1,0.545,Tab.3.1
All Private Funds,Cayman Islands,2025Q1,0.308,Tab.3.1
All Private Funds,Luxembourg,2025Q1,0.05,Tab.3.1
All Private Funds,Ireland,2025Q1,0.034,Tab.3.1
All Private Funds,Bermuda,2025Q1,0.01,Tab.3.1
All Private Funds,United Kingdom,2025Q1,0.009,Tab.3.1
All Private Funds,"Virgin Islands, British",2025Q1,0.006,Tab.3.1
All Private Funds,Other,2025Q1,0.038,Tab.3.1
Qualifying Hedge Funds,Cayman Islands,2025Q1,0.538,Tab.3.1
Qualifying Hedge Funds,United States,2025Q1,0.363,Tab.3.1
Qualifying Hedge Funds,Luxembourg,2025Q1,0.029,Tab.3.1
Qualifying Hedge Funds,Ireland,2025Q1,0.021,Tab.3.1
Qualifying Hedge Funds,"Virgin Islands, British",2025Q1,0.02,Tab.3.1
Qualifying Hedge Funds,Bermuda,2025Q1,0.015,Tab.3.1
Qualifying Hedge Funds,Other,2025Q1,0.015,Tab.3.1
Section 3 Liquidity Funds,United States,2025Q1,0.224,Tab.3.1
Section 3 Liquidity Funds,Cayman Islands,2025Q1,,Tab.3.1
Section 4 Private Equity Funds,United States,2025Q1,0.601,Tab.3.1
Section 4 Private Equity Funds,Cayman Islands,2025Q1,0.253,Tab.3.1
Section 4 Private Equity Funds,Canada,2025Q1,0.024,Tab.3.1
Section 4 Private Equity Funds,United Kingdom,2025Q1,0.012,Tab.3.1
Section 4 Private Equity Funds,Bermuda,2025Q1,0.01,Tab.3.1
Section 4 Private Equity Funds,Other,2025Q1,0.1,Tab.3.1
All Private Funds,United States,2013Q1,0.898,Tab.3.2
Qualifying Hedge Funds,United States,2013Q1,0.905,Tab.3.2
Qualifying Hedge Funds,United Kingdom,2013Q1,0.052,Tab.3.2
Qualifying Hedge Funds,Hong Kong,2013Q1,,Tab.3.2
Section 3 Liquidity Funds,United States,2013Q1,0.663,Tab.3.2
Section 4 Private Equity Funds,United States,2013Q1,0.981,Tab.3.2
All Private Funds,United States,2013Q2,0.894,Tab.3.2
Qualifying Hedge Funds,United States,2013Q2,0.897,Tab.3.2
Qualifying Hedge Funds,United Kingdom,2013Q2,0.057,Tab.3.2
Qualifying Hedge Funds,Hong Kong,2013Q2,,Tab.3.2
Section 3 Liquidity Funds,United States,2013Q2,0.664,Tab.3.2
Section 4 Private Equity Funds,United States,2013Q2,0.98,Tab.3.2
All Private Funds,United States,2013Q3,0.893,Tab.3.2
Qualifying Hedge Funds,United States,2013Q3,0.895,Tab.3.2
Qualifying Hedge Funds,United Kingdom,2013Q3,0.058,Tab.3.2
Qualifying Hedge Funds,Hong Kong,2013Q3,,Tab.3.2
Section 3 Liquidity Funds,United States,2013Q3,0.669,Tab.3.2
Section 4 Private Equity Funds,United States,2013Q3,0.98,Tab.3.2
All Private Funds,United States,2013Q4,0.9,Tab.3.2
Qualifying Hedge Funds,United States,2013Q4,0.895,Tab.3.2
Qualifying Hedge Funds,United Kingdom,2013Q4,0.055,Tab.3.2
Qualifying Hedge Funds,Hong Kong,2013Q4,,Tab.3.2
Section 3 Liquidity Funds,United States,2013Q4,0.668,Tab.3.2
Section 4 Private Equity Funds,United States,2013Q4,0.974,Tab.3.2
All Private Funds,United States,2014Q1,0.893,Tab.3.2
Qualifying Hedge Funds,United States,2014Q1,0.894,Tab.3.2
Qualifying Hedge Funds,United Kingdom,2014Q1,0.057,Tab.3.2
Qualifying Hedge Funds,Hong Kong,2014Q1,0.007,Tab.3.2
Section 3 Liquidity Funds,United States,2014Q1,0.672,Tab.3.2
Section 4 Private Equity Funds,United States,2014Q1,0.974,Tab.3.2
All Private Funds,United States,2014Q2,0.889,Tab.3.2
Qualifying Hedge Funds,United States,2014Q2,0.895,Tab.3.2
Qualifying Hedge Funds,United Kingdom,2014Q2,0.057,Tab.3.2
Qualifying Hedge Funds,Hong Kong,2014Q2,0.008,Tab.3.2
Section 3 Liquidity Funds,United States,2014Q2,0.685,Tab.3.2
Section 4 Private Equity Funds,United States,2014Q2,0.974,Tab.3.2
All Private Funds,United States,2014Q3,0.888,Tab.3.2
Qualifying Hedge Funds,United States,2014Q3,0.898,Tab.3.2
Qualifying Hedge Funds,United Kingdom,2014Q3,0.055,Tab.3.2
Qualifying Hedge Funds,Hong Kong,2014Q3,0.008,Tab.3.2
Section 3 Liquidity Funds,United States,2014Q3,0.653,Tab.3.2
Section 4 Private Equity Funds,United States,2014Q3,0.975,Tab.3.2
All Private Funds,United States,2014Q4,0.897,Tab.3.2
Qualifying Hedge Funds,United States,2014Q4,0.9,Tab.3.2
Qualifying Hedge Funds,United Kingdom,2014Q4,0.048,Tab.3.2
Qualifying Hedge Funds,Hong Kong,2014Q4,0.014,Tab.3.2
Section 3 Liquidity Funds,United States,2014Q4,0.636,Tab.3.2
Section 4 Private Equity Funds,United States,2014Q4,0.978,Tab.3.2
All Private Funds,United States,2015Q1,0.896,Tab.3.2
Qualifying Hedge Funds,United States,2015Q1,0.904,Tab.3.2
Qualifying Hedge Funds,United Kingdom,2015Q1,0.048,Tab.3.2
Qualifying Hedge Funds,Hong Kong,2015Q1,0.013,Tab.3.2
Section 3 Liquidity Funds,United States,2015Q1,0.656,Tab.3.2
Section 4 Private Equity Funds,United States,2015Q1,0.978,Tab.3.2
All Private Funds,United States,2015Q2,0.895,Tab.3.2
Qualifying Hedge Funds,United States,2015Q2,0.902,Tab.3.2
Qualifying Hedge Funds,United Kingdom,2015Q2,0.048,Tab.3.2
Qualifying Hedge Funds,Hong Kong,2015Q2,0.015,Tab.3.2
Section 3 Liquidity Funds,United States,2015Q2,0.64,Tab.3.2
Section 4 Private Equity Funds,United States,2015Q2,0.978,Tab.3.2
All Private Funds,United States,2015Q3,0.895,Tab.3.2
Qualifying Hedge Funds,United States,2015Q3,0.902,Tab.3.2
Qualifying Hedge Funds,United Kingdom,2015Q3,0.05,Tab.3.2
Qualifying Hedge Funds,Hong Kong,2015Q3,0.014,Tab.3.2
Section 3 Liquidity Funds,United States,2015Q3,0.649,Tab.3.2
Section 4 Private Equity Funds,United States,2015Q3,0.977,Tab.3.2
All Private Funds,United States,2015Q4,0.899,Tab.3.2
Qualifying Hedge Funds,United States,2015Q4,0.893,Tab.3.2
Qualifying Hedge Funds,United Kingdom,2015Q4,0.055,Tab.3.2
Qualifying Hedge Funds,Hong Kong,2015Q4,0.016,Tab.3.2
Section 3 Liquidity Funds,United States,2015Q4,0.574,Tab.3.2
Section 4 Private Equity Funds,United States,2015Q4,0.972,Tab.3.2
All Private Funds,United States,2016Q1,0.895,Tab.3.2
Qualifying Hedge Funds,United States,2016Q1,0.894,Tab.3.2
Qualifying Hedge Funds,United Kingdom,2016Q1,0.056,Tab.3.2
Qualifying Hedge Funds,Hong Kong,2016Q1,0.014,Tab.3.2
Section 3 Liquidity Funds,United States,2016Q1,0.584,Tab.3.2
Section 4 Private Equity Funds,United States,2016Q1,0.972,Tab.3.2
All Private Funds,United States,2016Q2,0.896,Tab.3.2
Qualifying Hedge Funds,United States,2016Q2,0.896,Tab.3.2
Qualifying Hedge Funds,United Kingdom,2016Q2,0.055,Tab.3.2
Qualifying Hedge Funds,Hong Kong,2016Q2,0.014,Tab.3.2
Section 3 Liquidity Funds,United States,2016Q2,0.592,Tab.3.2
Section 4 Private Equity Funds,United States,2016Q2,0.972,Tab.3.2
All Private Funds,United States,2016Q3,0.897,Tab.3.2
Qualifying Hedge Funds,United States,2016Q3,0.894,Tab.3.2
Qualifying Hedge Funds,United Kingdom,2016Q3,0.056,Tab.3.2
Qualifying Hedge Funds,Hong Kong,2016Q3,0.015,Tab.3.2
Section 3 Liquidity Funds,United States,2016Q3,0.639,Tab.3.2
Section 4 Private Equity Funds,United States,2016Q3,0.972,Tab.3.2
All Private Funds,United States,2016Q4,0.901,Tab.3.2
Qualifying Hedge Funds,United States,2016Q4,0.897,Tab.3.2
Qualifying Hedge Funds,United Kingdom,2016Q4,0.056,Tab.3.2
Qualifying Hedge Funds,Hong Kong,2016Q4,0.013,Tab.3.2
Section 3 Liquidity Funds,United States,2016Q4,0.624,Tab.3.2
Section 4 Private Equity Funds,United States,2016Q4,0.951,Tab.3.2
All Private Funds,United States,2017Q1,0.894,Tab.3.2
Qualifying Hedge Funds,United States,2017Q1,0.895,Tab.3.2
Qualifying Hedge Funds,United Kingdom,2017Q1,0.058,Tab.3.2
Qualifying Hedge Funds,Hong Kong,2017Q1,0.013,Tab.3.2
Section 3 Liquidity Funds,United States,2017Q1,0.64,Tab.3.2
Section 4 Private Equity Funds,United States,2017Q1,0.951,Tab.3.2
All Private Funds,United States,2017Q2,0.89,Tab.3.2
Qualifying Hedge Funds,United States,2017Q2,0.893,Tab.3.2
Qualifying Hedge Funds,United Kingdom,2017Q2,0.062,Tab.3.2
Qualifying Hedge Funds,Hong Kong,2017Q2,0.009,Tab.3.2
Section 3 Liquidity Funds,United States,2017Q2,0.639,Tab.3.2
Section 4 Private Equity Funds,United States,2017Q2,0.951,Tab.3.2
All Private Funds,United States,2017Q3,0.888,Tab.3.2
Qualifying Hedge Funds,United States,2017Q3,0.89,Tab.3.2
Qualifying Hedge Funds,United Kingdom,2017Q3,0.063,Tab.3.2
Qualifying Hedge Funds,Hong Kong,2017Q3,0.01,Tab.3.2
Section 3 Liquidity Funds,United States,2017Q3,0.628,Tab.3.2
Section 4 Private Equity Funds,United States,2017Q3,0.951,Tab.3.2
All Private Funds,United States,2017Q4,0.895,Tab.3.2
Qualifying Hedge Funds,United States,2017Q4,0.886,Tab.3.2
Qualifying Hedge Funds,United Kingdom,2017Q4,0.066,Tab.3.2
Qualifying Hedge Funds,Hong Kong,2017Q4,0.01,Tab.3.2
Section 3 Liquidity Funds,United States,2017Q4,0.626,Tab.3.2
Section 4 Private Equity Funds,United States,2017Q4,0.948,Tab.3.2
All Private Funds,United States,2018Q1,0.888,Tab.3.2
Qualifying Hedge Funds,United States,2018Q1,0.884,Tab.3.2
Qualifying Hedge Funds,United Kingdom,2018Q1,0.066,Tab.3.2
Qualifying Hedge Funds,Hong Kong,2018Q1,0.011,Tab.3.2
Section 3 Liquidity Funds,United States,2018Q1,0.65,Tab.3.2
Section 4 Private Equity Funds,United States,2018Q1,0.948,Tab.3.2
All Private Funds,United States,2018Q2,0.887,Tab.3.2
Qualifying Hedge Funds,United States,2018Q2,0.887,Tab.3.2
Qualifying Hedge Funds,United Kingdom,2018Q2,0.065,Tab.3.2
Qualifying Hedge Funds,Hong Kong,2018Q2,0.011,Tab.3.2
Section 3 Liquidity Funds,United States,2018Q2,0.652,Tab.3.2
Section 4 Private Equity Funds,United States,2018Q2,0.948,Tab.3.2
All Private Funds,United States,2018Q3,0.888,Tab.3.2
Qualifying Hedge Funds,United States,2018Q3,0.886,Tab.3.2
Qualifying Hedge Funds,United Kingdom,2018Q3,0.065,Tab.3.2
Qualifying Hedge Funds,Hong Kong,2018Q3,0.01,Tab.3.2
Section 3 Liquidity Funds,United States,2018Q3,0.648,Tab.3.2
Section 4 Private Equity Funds,United States,2018Q3,0.948,Tab.3.2
All Private Funds,United States,2018Q4,0.894,Tab.3.2
Qualifying Hedge Funds,United States,2018Q4,0.89,Tab.3.2
Qualifying Hedge Funds,United Kingdom,2018Q4,0.061,Tab.3.2
Qualifying Hedge Funds,Hong Kong,2018Q4,0.012,Tab.3.2
Section 3 Liquidity Funds,United States,2018Q4,0.629,Tab.3.2
Section 4 Private Equity Funds,United States,2018Q4,0.94,Tab.3.2
All Private Funds,United States,2019Q1,0.893,Tab.3.2
Qualifying Hedge Funds,United States,2019Q1,0.89,Tab.3.2
Qualifying Hedge Funds,United Kingdom,2019Q1,0.06,Tab.3.2
Qualifying Hedge Funds,Hong Kong,2019Q1,0.013,Tab.3.2
Section 3 Liquidity Funds,United States,2019Q1,0.604,Tab.3.2
Section 4 Private Equity Funds,United States,2019Q1,0.941,Tab.3.2
All Private Funds,United States,2019Q2,0.893,Tab.3.2
Qualifying Hedge Funds,United States,2019Q2,0.891,Tab.3.2
Qualifying Hedge Funds,United Kingdom,2019Q2,0.058,Tab.3.2
Qualifying Hedge Funds,Hong Kong,2019Q2,0.013,Tab.3.2
Section 3 Liquidity Funds,United States,2019Q2,0.614,Tab.3.2
Section 4 Private Equity Funds,United States,2019Q2,0.941,Tab.3.2
All Private Funds,United States,2019Q3,0.892,Tab.3.2
Qualifying Hedge Funds,United States,2019Q3,0.894,Tab.3.2
Qualifying Hedge Funds,United Kingdom,2019Q3,0.055,Tab.3.2
Qualifying Hedge Funds,Hong Kong,2019Q3,0.014,Tab.3.2
Section 3 Liquidity Funds,United States,2019Q3,0.569,Tab.3.2
Section 4 Private Equity Funds,United States,2019Q3,0.941,Tab.3.2
All Private Funds,United States,2019Q4,0.898,Tab.3.2
Qualifying Hedge Funds,United States,2019Q4,0.888,Tab.3.2
Qualifying Hedge Funds,United Kingdom,2019Q4,0.055,Tab.3.2
Qualifying Hedge Funds,Hong Kong,2019Q4,0.015,Tab.3.2
Section 3 Liquidity Funds,United States,2019Q4,0.547,Tab.3.2
Section 4 Private Equity Funds,United States,2019Q4,0.938,Tab.3.2
All Private Funds,United States,2020Q1,0.901,Tab.3.2
Qualifying Hedge Funds,United States,2020Q1,0.894,Tab.3.2
Qualifying Hedge Funds,United Kingdom,2020Q1,0.05,Tab.3.2
Qualifying Hedge Funds,Hong Kong,2020Q1,0.016,Tab.3.2
Section 3 Liquidity Funds,United States,2020Q1,0.562,Tab.3.2
Section 4 Private Equity Funds,United States,2020Q1,0.938,Tab.3.2
All Private Funds,United States,2020Q2,0.901,Tab.3.2
Qualifying Hedge Funds,United States,2020Q2,0.897,Tab.3.2
Qualifying Hedge Funds,United Kingdom,2020Q2,0.046,Tab.3.2
Qualifying Hedge Funds,Hong Kong,2020Q2,0.018,Tab.3.2
Section 3 Liquidity Funds,United States,2020Q2,0.544,Tab.3.2
Section 4 Private Equity Funds,United States,2020Q2,0.938,Tab.3.2
All Private Funds,United States,2020Q3,0.9,Tab.3.2
Qualifying Hedge Funds,United States,2020Q3,0.898,Tab.3.2
Qualifying Hedge Funds,United Kingdom,2020Q3,0.045,Tab.3.2
Qualifying Hedge Funds,Hong Kong,2020Q3,0.02,Tab.3.2
Section 3 Liquidity Funds,United States,2020Q3,0.53,Tab.3.2
Section 4 Private Equity Funds,United States,2020Q3,0.938,Tab.3.2
All Private Funds,United States,2020Q4,0.904,Tab.3.2
Qualifying Hedge Funds,United States,2020Q4,0.888,Tab.3.2
Qualifying Hedge Funds,United Kingdom,2020Q4,0.048,Tab.3.2
Qualifying Hedge Funds,Hong Kong,2020Q4,0.024,Tab.3.2
Section 3 Liquidity Funds,United States,2020Q4,0.549,Tab.3.2
Section 4 Private Equity Funds,United States,2020Q4,0.941,Tab.3.2
All Private Funds,United States,2021Q1,0.903,Tab.3.2
Qualifying Hedge Funds,United States,2021Q1,0.896,Tab.3.2
Qualifying Hedge Funds,United Kingdom,2021Q1,0.045,Tab.3.2
Qualifying Hedge Funds,Hong Kong,2021Q1,0.022,Tab.3.2
Section 3 Liquidity Funds,United States,2021Q1,0.572,Tab.3.2
Section 4 Private Equity Funds,United States,2021Q1,0.942,Tab.3.2
All Private Funds,United States,2021Q2,0.893,Tab.3.2
Qualifying Hedge Funds,United States,2021Q2,0.876,Tab.3.2
Qualifying Hedge Funds,United Kingdom,2021Q2,0.044,Tab.3.2
Qualifying Hedge Funds,Hong Kong,2021Q2,0.021,Tab.3.2
Section 3 Liquidity Funds,United States,2021Q2,0.575,Tab.3.2
Section 4 Private Equity Funds,United States,2021Q2,0.942,Tab.3.2
All Private Funds,United States,2021Q3,0.896,Tab.3.2
Qualifying Hedge Funds,United States,2021Q3,0.88,Tab.3.2
Qualifying Hedge Funds,United Kingdom,2021Q3,0.042,Tab.3.2
Qualifying Hedge Funds,Hong Kong,2021Q3,0.019,Tab.3.2
Section 3 Liquidity Funds,United States,2021Q3,0.579,Tab.3.2
Section 4 Private Equity Funds,United States,2021Q3,0.942,Tab.3.2
All Private Funds,United States,2021Q4,0.911,Tab.3.2
Qualifying Hedge Funds,United States,2021Q4,0.88,Tab.3.2
Qualifying Hedge Funds,United Kingdom,2021Q4,0.042,Tab.3.2
Qualifying Hedge Funds,Hong Kong,2021Q4,0.019,Tab.3.2
Section 3 Liquidity Funds,United States,2021Q4,0.579,Tab.3.2
Section 4 Private Equity Funds,United States,2021Q4,0.955,Tab.3.2
All Private Funds,United States,2022Q1,0.909,Tab.3.2
Qualifying Hedge Funds,United States,2022Q1,0.885,Tab.3.2
Qualifying Hedge Funds,United Kingdom,2022Q1,0.039,Tab.3.2
Qualifying Hedge Funds,Hong Kong,2022Q1,0.016,Tab.3.2
Section 3 Liquidity Funds,United States,2022Q1,0.568,Tab.3.2
Section 4 Private Equity Funds,United States,2022Q1,0.955,Tab.3.2
All Private Funds,United States,2022Q2,0.917,Tab.3.2
Qualifying Hedge Funds,United States,2022Q2,0.907,Tab.3.2
Qualifying Hedge Funds,United Kingdom,2022Q2,0.037,Tab.3.2
Qualifying Hedge Funds,Hong Kong,2022Q2,0.016,Tab.3.2
Section 3 Liquidity Funds,United States,2022Q2,0.593,Tab.3.2
Section 4 Private Equity Funds,United States,2022Q2,0.955,Tab.3.2
All Private Funds,United States,2022Q3,0.919,Tab.3.2
Qualifying Hedge Funds,United States,2022Q3,0.91,Tab.3.2
Qualifying Hedge Funds,United Kingdom,2022Q3,0.036,Tab.3.2
Qualifying Hedge Funds,Hong Kong,2022Q3,0.014,Tab.3.2
Section 3 Liquidity Funds,United States,2022Q3,0.571,Tab.3.2
Section 4 Private Equity Funds,United States,2022Q3,0.955,Tab.3.2
All Private Funds,United States,2022Q4,0.923,Tab.3.2
Qualifying Hedge Funds,United States,2022Q4,0.904,Tab.3.2
Qualifying Hedge Funds,United Kingdom,2022Q4,0.041,Tab.3.2
Qualifying Hedge Funds,Hong Kong,2022Q4,0.004,Tab.3.2
Section 3 Liquidity Funds,United States,2022Q4,0.532,Tab.3.2
Section 4 Private Equity Funds,United States,2022Q4,0.954,Tab.3.2
All Private Funds,United States,2023Q1,0.918,Tab.3.2
Qualifying Hedge Funds,United States,2023Q1,0.906,Tab.3.2
Qualifying Hedge Funds,United Kingdom,2023Q1,0.04,Tab.3.2
Qualifying Hedge Funds,Hong Kong,2023Q1,0.003,Tab.3.2
Section 3 Liquidity Funds,United States,2023Q1,0.525,Tab.3.2
Section 4 Private Equity Funds,United States,2023Q1,0.954,Tab.3.2
All Private Funds,United States,2023Q2,0.918,Tab.3.2
Qualifying Hedge Funds,United States,2023Q2,0.916,Tab.3.2
Qualifying Hedge Funds,United Kingdom,2023Q2,0.04,Tab.3.2
Qualifying Hedge Funds,Hong Kong,2023Q2,0.003,Tab.3.2
Section 3 Liquidity Funds,United States,2023Q2,0.515,Tab.3.2
Section 4 Private Equity Funds,United States,2023Q2,0.954,Tab.3.2
All Private Funds,United States,2023Q3,0.92,Tab.3.2
Qualifying Hedge Funds,United States,2023Q3,0.922,Tab.3.2
Qualifying Hedge Funds,United Kingdom,2023Q3,0.036,Tab.3.2
Qualifying Hedge Funds,Hong Kong,2023Q3,0.002,Tab.3.2
Section 3 Liquidity Funds,United States,2023Q3,0.558,Tab.3.2
Section 4 Private Equity Funds,United States,2023Q3,0.954,Tab.3.2
All Private Funds,United States,2023Q4,0.934,Tab.3.2
Qualifying Hedge Funds,United States,2023Q4,0.92,Tab.3.2
Qualifying Hedge Funds,United Kingdom,2023Q4,0.039,Tab.3.2
Qualifying Hedge Funds,Hong Kong,2023Q4,0.003,Tab.3.2
Section 3 Liquidity Funds,United States,2023Q4,0.531,Tab.3.2
Section 4 Private Equity Funds,United States,2023Q4,0.968,Tab.3.2
All Private Funds,United States,2024Q1,0.933,Tab.3.2
Qualifying Hedge Funds,United States,2024Q1,0.921,Tab.3.2
Qualifying Hedge Funds,United Kingdom,2024Q1,0.038,Tab.3.2
Qualifying Hedge Funds,Hong Kong,2024Q1,0.002,Tab.3.2
Section 3 Liquidity Funds,United States,2024Q1,0.559,Tab.3.2
Section 4 Private Equity Funds,United States,2024Q1,0.968,Tab.3.2
All Private Funds,United States,2024Q2,0.933,Tab.3.2
Qualifying Hedge Funds,United States,2024Q2,0.921,Tab.3.2
Qualifying Hedge Funds,United Kingdom,2024Q2,0.038,Tab.3.2
Qualifying Hedge Funds,Hong Kong,2024Q2,0.002,Tab.3.2
Section 3 Liquidity Funds,United States,2024Q2,0.563,Tab.3.2
Section 4 Private Equity Funds,United States,2024Q2,0.968,Tab.3.2
All Private Funds,United States,2024Q3,0.931,Tab.3.2
Qualifying Hedge Funds,United States,2024Q3,0.92,Tab.3.2
Qualifying Hedge Funds,United Kingdom,2024Q3,0.038,Tab.3.2
Qualifying Hedge Funds,Hong Kong,2024Q3,0.002,Tab.3.2
Section 3 Liquidity Funds,United States,2024Q3,0.569,Tab.3.2
Section 4 Private Equity Funds,United States,2024Q3,0.968,Tab.3.2
All Private Funds,United States,2024Q4,0.939,Tab.3.2
Qualifying Hedge Funds,United States,2024Q4,0.921,Tab.3.2
Qualifying Hedge Funds,United Kingdom,2024Q4,0.037,Tab.3.2
Qualifying Hedge Funds,Hong Kong,2024Q4,,Tab.3.2
Section 3 Liquidity Funds,United States,2024Q4,0.564,Tab.3.2
Section 4 Private Equity Funds,United States,2024Q4,0.968,Tab.3.2
All Private Funds,United States,2025Q1,0.936,Tab.3.2
Qualifying Hedge Funds,United States,2025Q1,0.925,Tab.3.2
Qualifying Hedge Funds,United Kingdom,2025Q1,0.036,Tab.3.2
Qualifying Hedge Funds,Hong Kong,2025Q1,,Tab.3.2
Section 3 Liquidity Funds,United States,2025Q1,0.566,Tab.3.2
Section 4 Private Equity Funds,United States,2025Q1,0.969,Tab.3.2
