sector,quarter,amount,table
25th Percentile,2017Q4,0.021,Tab.10.3
Median,2017Q4,0.073,Tab.10.3
75th Percentile,2017Q4,0.215,Tab.10.3
90th Percentile,2017Q4,0.518,Tab.10.3
Mean,2017Q4,0.177,Tab.10.3
25th Percentile,2018Q4,0.015,Tab.10.3
Median,2018Q4,0.06,Tab.10.3
75th Percentile,2018Q4,0.178,Tab.10.3
90th Percentile,2018Q4,0.493,Tab.10.3
Mean,2018Q4,0.153,Tab.10.3
25th Percentile,2019Q4,0.013,Tab.10.3
Median,2019Q4,0.052,Tab.10.3
75th Percentile,2019Q4,0.168,Tab.10.3
90th Percentile,2019Q4,0.488,Tab.10.3
Mean,2019Q4,0.155,Tab.10.3
25th Percentile,2020Q4,0.014,Tab.10.3
Median,2020Q4,0.06,Tab.10.3
75th Percentile,2020Q4,0.182,Tab.10.3
90th Percentile,2020Q4,0.469,Tab.10.3
Mean,2020Q4,0.16,Tab.10.3
25th Percentile,2021Q4,0.011,Tab.10.3
Median,2021Q4,0.046,Tab.10.3
75th Percentile,2021Q4,0.167,Tab.10.3
90th Percentile,2021Q4,0.425,Tab.10.3
Mean,2021Q4,0.147,Tab.10.3
25th Percentile,2022Q4,0.013,Tab.10.3
Median,2022Q4,0.054,Tab.10.3
75th Percentile,2022Q4,0.182,Tab.10.3
90th Percentile,2022Q4,0.48,Tab.10.3
Mean,2022Q4,0.157,Tab.10.3
25th Percentile,2023Q4,0.014,Tab.10.3
Median,2023Q4,0.053,Tab.10.3
75th Percentile,2023Q4,0.169,Tab.10.3
90th Percentile,2023Q4,0.396,Tab.10.3
Mean,2023Q4,0.143,Tab.10.3
25th Percentile,2024Q4,0.012,Tab.10.3
Median,2024Q4,0.047,Tab.10.3
75th Percentile,2024Q4,0.166,Tab.10.3
90th Percentile,2024Q4,0.429,Tab.10.3
Mean,2024Q4,0.149,Tab.10.3
25th Percentile,2013Q4,0.04,Tab.10.4
Median,2013Q4,0.09,Tab.10.4
75th Percentile,2013Q4,0.18,Tab.10.4
90th Percentile,2013Q4,0.33,Tab.10.4
Mean,2013Q4,0.148,Tab.10.4
25th Percentile,2014Q4,0.03,Tab.10.4
Median,2014Q4,0.08,Tab.10.4
75th Percentile,2014Q4,0.22,Tab.10.4
90th Percentile,2014Q4,0.4,Tab.10.4
Mean,2014Q4,0.168,Tab.10.4
25th Percentile,2015Q4,0.04,Tab.10.4
Median,2015Q4,0.09,Tab.10.4
75th Percentile,2015Q4,0.22,Tab.10.4
90th Percentile,2015Q4,0.48,Tab.10.4
Mean,2015Q4,0.183,Tab.10.4
25th Percentile,2016Q4,0.04,Tab.10.4
Median,2016Q4,0.09,Tab.10.4
75th Percentile,2016Q4,0.22,Tab.10.4
90th Percentile,2016Q4,0.486,Tab.10.4
Mean,2016Q4,0.186,Tab.10.4
25th Percentile,2017Q4,0.03,Tab.10.4
Median,2017Q4,0.08,Tab.10.4
75th Percentile,2017Q4,0.17,Tab.10.4
90th Percentile,2017Q4,0.42,Tab.10.4
Mean,2017Q4,0.165,Tab.10.4
25th Percentile,2018Q4,0.03,Tab.10.4
Median,2018Q4,0.09,Tab.10.4
75th Percentile,2018Q4,0.222,Tab.10.4
90th Percentile,2018Q4,0.57,Tab.10.4
Mean,2018Q4,0.195,Tab.10.4
25th Percentile,2019Q4,0.04,Tab.10.4
Median,2019Q4,0.11,Tab.10.4
75th Percentile,2019Q4,0.27,Tab.10.4
90th Percentile,2019Q4,0.614,Tab.10.4
Mean,2019Q4,0.218,Tab.10.4
25th Percentile,2020Q4,0.04,Tab.10.4
Median,2020Q4,0.11,Tab.10.4
75th Percentile,2020Q4,0.32,Tab.10.4
90th Percentile,2020Q4,0.65,Tab.10.4
Mean,2020Q4,0.231,Tab.10.4
25th Percentile,2021Q4,0.04,Tab.10.4
Median,2021Q4,0.09,Tab.10.4
75th Percentile,2021Q4,0.31,Tab.10.4
90th Percentile,2021Q4,0.88,Tab.10.4
Mean,2021Q4,0.242,Tab.10.4
25th Percentile,2022Q4,0.04,Tab.10.4
Median,2022Q4,0.11,Tab.10.4
75th Percentile,2022Q4,0.3,Tab.10.4
90th Percentile,2022Q4,0.66,Tab.10.4
Mean,2022Q4,0.228,Tab.10.4
25th Percentile,2023Q4,0.04,Tab.10.4
Median,2023Q4,0.11,Tab.10.4
75th Percentile,2023Q4,0.26,Tab.10.4
90th Percentile,2023Q4,0.61,Tab.10.4
Mean,2023Q4,0.211,Tab.10.4
25th Percentile,2024Q4,0.04,Tab.10.4
Median,2024Q4,0.1,Tab.10.4
75th Percentile,2024Q4,0.25,Tab.10.4
90th Percentile,2024Q4,0.658,Tab.10.4
Mean,2024Q4,0.211,Tab.10.4
Weighted Average,2013Q4,94.0,Tab.10.5
Weighted Average,2013Q4,1342.0,Tab.10.5
Weighted Average,2013Q4,345.0,Tab.10.5
Weighted Average,2013Q4,258.0,Tab.10.5
Weighted Average,2013Q4,193.0,Tab.10.5
High,2013Q4,0.0,Tab.10.5
High,2013Q4,1223.0,Tab.10.5
High,2013Q4,322.0,Tab.10.5
High,2013Q4,333.0,Tab.10.5
High,2013Q4,354.0,Tab.10.5
Low,2013Q4,153.0,Tab.10.5
Low,2013Q4,1639.0,Tab.10.5
Low,2013Q4,185.0,Tab.10.5
Low,2013Q4,142.0,Tab.10.5
Low,2013Q4,113.0,Tab.10.5
Weighted Average,2014Q4,100.0,Tab.10.5
Weighted Average,2014Q4,1474.0,Tab.10.5
Weighted Average,2014Q4,347.0,Tab.10.5
Weighted Average,2014Q4,293.0,Tab.10.5
Weighted Average,2014Q4,201.0,Tab.10.5
High,2014Q4,0.0,Tab.10.5
High,2014Q4,1371.0,Tab.10.5
High,2014Q4,282.0,Tab.10.5
High,2014Q4,358.0,Tab.10.5
High,2014Q4,404.0,Tab.10.5
Low,2014Q4,213.0,Tab.10.5
Low,2014Q4,1746.0,Tab.10.5
Low,2014Q4,198.0,Tab.10.5
Low,2014Q4,136.0,Tab.10.5
Low,2014Q4,122.0,Tab.10.5
Weighted Average,2015Q4,123.0,Tab.10.5
Weighted Average,2015Q4,1744.0,Tab.10.5
Weighted Average,2015Q4,365.0,Tab.10.5
Weighted Average,2015Q4,263.0,Tab.10.5
Weighted Average,2015Q4,246.0,Tab.10.5
High,2015Q4,0.0,Tab.10.5
High,2015Q4,1653.0,Tab.10.5
High,2015Q4,336.0,Tab.10.5
High,2015Q4,332.0,Tab.10.5
High,2015Q4,420.0,Tab.10.5
Low,2015Q4,217.0,Tab.10.5
Low,2015Q4,2065.0,Tab.10.5
Low,2015Q4,190.0,Tab.10.5
Low,2015Q4,129.0,Tab.10.5
Low,2015Q4,140.0,Tab.10.5
Weighted Average,2016Q4,119.0,Tab.10.5
Weighted Average,2016Q4,2015.0,Tab.10.5
Weighted Average,2016Q4,371.0,Tab.10.5
Weighted Average,2016Q4,247.0,Tab.10.5
Weighted Average,2016Q4,249.0,Tab.10.5
High,2016Q4,0.0,Tab.10.5
High,2016Q4,1891.0,Tab.10.5
High,2016Q4,349.0,Tab.10.5
High,2016Q4,332.0,Tab.10.5
High,2016Q4,429.0,Tab.10.5
Low,2016Q4,216.0,Tab.10.5
Low,2016Q4,2329.0,Tab.10.5
Low,2016Q4,196.0,Tab.10.5
Low,2016Q4,120.0,Tab.10.5
Low,2016Q4,140.0,Tab.10.5
Weighted Average,2017Q4,144.0,Tab.10.5
Weighted Average,2017Q4,2352.0,Tab.10.5
Weighted Average,2017Q4,449.0,Tab.10.5
Weighted Average,2017Q4,259.0,Tab.10.5
Weighted Average,2017Q4,278.0,Tab.10.5
High,2017Q4,0.0,Tab.10.5
High,2017Q4,2209.0,Tab.10.5
High,2017Q4,432.0,Tab.10.5
High,2017Q4,380.0,Tab.10.5
High,2017Q4,461.0,Tab.10.5
Low,2017Q4,249.0,Tab.10.5
Low,2017Q4,2692.0,Tab.10.5
Low,2017Q4,238.0,Tab.10.5
Low,2017Q4,134.0,Tab.10.5
Low,2017Q4,169.0,Tab.10.5
Weighted Average,2018Q4,153.0,Tab.10.5
Weighted Average,2018Q4,2635.0,Tab.10.5
Weighted Average,2018Q4,523.0,Tab.10.5
Weighted Average,2018Q4,345.0,Tab.10.5
Weighted Average,2018Q4,280.0,Tab.10.5
High,2018Q4,0.0,Tab.10.5
High,2018Q4,2516.0,Tab.10.5
High,2018Q4,465.0,Tab.10.5
High,2018Q4,459.0,Tab.10.5
High,2018Q4,496.0,Tab.10.5
Low,2018Q4,271.0,Tab.10.5
Low,2018Q4,3060.0,Tab.10.5
Low,2018Q4,251.0,Tab.10.5
Low,2018Q4,189.0,Tab.10.5
Low,2018Q4,165.0,Tab.10.5
Weighted Average,2019Q4,143.0,Tab.10.5
Weighted Average,2019Q4,2925.0,Tab.10.5
Weighted Average,2019Q4,592.0,Tab.10.5
Weighted Average,2019Q4,409.0,Tab.10.5
Weighted Average,2019Q4,325.0,Tab.10.5
High,2019Q4,0.0,Tab.10.5
High,2019Q4,2777.0,Tab.10.5
High,2019Q4,489.0,Tab.10.5
High,2019Q4,550.0,Tab.10.5
High,2019Q4,578.0,Tab.10.5
Low,2019Q4,272.0,Tab.10.5
Low,2019Q4,3428.0,Tab.10.5
Low,2019Q4,311.0,Tab.10.5
Low,2019Q4,199.0,Tab.10.5
Low,2019Q4,184.0,Tab.10.5
Weighted Average,2020Q4,189.0,Tab.10.5
Weighted Average,2020Q4,3686.0,Tab.10.5
Weighted Average,2020Q4,596.0,Tab.10.5
Weighted Average,2020Q4,422.0,Tab.10.5
Weighted Average,2020Q4,381.0,Tab.10.5
High,2020Q4,0.0,Tab.10.5
High,2020Q4,3471.0,Tab.10.5
High,2020Q4,575.0,Tab.10.5
High,2020Q4,598.0,Tab.10.5
High,2020Q4,630.0,Tab.10.5
Low,2020Q4,351.0,Tab.10.5
Low,2020Q4,4171.0,Tab.10.5
Low,2020Q4,325.0,Tab.10.5
Low,2020Q4,237.0,Tab.10.5
Low,2020Q4,190.0,Tab.10.5
Weighted Average,2021Q4,258.0,Tab.10.5
Weighted Average,2021Q4,4725.0,Tab.10.5
Weighted Average,2021Q4,670.0,Tab.10.5
Weighted Average,2021Q4,481.0,Tab.10.5
Weighted Average,2021Q4,430.0,Tab.10.5
High,2021Q4,0.0,Tab.10.5
High,2021Q4,4513.0,Tab.10.5
High,2021Q4,688.0,Tab.10.5
High,2021Q4,620.0,Tab.10.5
High,2021Q4,743.0,Tab.10.5
Low,2021Q4,492.0,Tab.10.5
Low,2021Q4,5224.0,Tab.10.5
Low,2021Q4,360.0,Tab.10.5
Low,2021Q4,239.0,Tab.10.5
Low,2021Q4,249.0,Tab.10.5
Weighted Average,2022Q4,240.0,Tab.10.5
Weighted Average,2022Q4,5382.0,Tab.10.5
Weighted Average,2022Q4,753.0,Tab.10.5
Weighted Average,2022Q4,615.0,Tab.10.5
Weighted Average,2022Q4,516.0,Tab.10.5
High,2022Q4,0.0,Tab.10.5
High,2022Q4,5141.0,Tab.10.5
High,2022Q4,709.0,Tab.10.5
High,2022Q4,784.0,Tab.10.5
High,2022Q4,872.0,Tab.10.5
Low,2022Q4,515.0,Tab.10.5
Low,2022Q4,5961.0,Tab.10.5
Low,2022Q4,423.0,Tab.10.5
Low,2022Q4,290.0,Tab.10.5
Low,2022Q4,317.0,Tab.10.5
Weighted Average,2023Q4,329.0,Tab.10.5
Weighted Average,2023Q4,6195.0,Tab.10.5
Weighted Average,2023Q4,853.0,Tab.10.5
Weighted Average,2023Q4,607.0,Tab.10.5
Weighted Average,2023Q4,590.0,Tab.10.5
High,2023Q4,0.0,Tab.10.5
High,2023Q4,5898.0,Tab.10.5
High,2023Q4,831.0,Tab.10.5
High,2023Q4,814.0,Tab.10.5
High,2023Q4,1031.0,Tab.10.5
Low,2023Q4,631.0,Tab.10.5
Low,2023Q4,6761.0,Tab.10.5
Low,2023Q4,461.0,Tab.10.5
Low,2023Q4,340.0,Tab.10.5
Low,2023Q4,381.0,Tab.10.5
Weighted Average,2024Q4,436.0,Tab.10.5
Weighted Average,2024Q4,7372.0,Tab.10.5
Weighted Average,2024Q4,913.0,Tab.10.5
Weighted Average,2024Q4,642.0,Tab.10.5
Weighted Average,2024Q4,627.0,Tab.10.5
High,2024Q4,0.0,Tab.10.5
High,2024Q4,7060.0,Tab.10.5
High,2024Q4,954.0,Tab.10.5
High,2024Q4,880.0,Tab.10.5
High,2024Q4,1096.0,Tab.10.5
Low,2024Q4,815.0,Tab.10.5
Low,2024Q4,7942.0,Tab.10.5
Low,2024Q4,522.0,Tab.10.5
Low,2024Q4,316.0,Tab.10.5
Low,2024Q4,395.0,Tab.10.5
Weighted Average,2013Q4,1178.0,Tab.10.6
Weighted Average,2013Q4,1523.0,Tab.10.6
Weighted Average,2013Q4,1373.0,Tab.10.6
Weighted Average,2013Q4,1542.0,Tab.10.6
Weighted Average,2013Q4,1704.0,Tab.10.6
High,2013Q4,0.0,Tab.10.6
High,2013Q4,924.0,Tab.10.6
High,2013Q4,966.0,Tab.10.6
High,2013Q4,1637.0,Tab.10.6
High,2013Q4,3795.0,Tab.10.6
Low,2013Q4,1533.0,Tab.10.6
Low,2013Q4,4396.0,Tab.10.6
Low,2013Q4,426.0,Tab.10.6
Low,2013Q4,630.0,Tab.10.6
Low,2013Q4,337.0,Tab.10.6
Weighted Average,2014Q4,451.0,Tab.10.6
Weighted Average,2014Q4,1817.0,Tab.10.6
Weighted Average,2014Q4,1512.0,Tab.10.6
Weighted Average,2014Q4,1585.0,Tab.10.6
Weighted Average,2014Q4,1054.0,Tab.10.6
High,2014Q4,0.0,Tab.10.6
High,2014Q4,870.0,Tab.10.6
High,2014Q4,609.0,Tab.10.6
High,2014Q4,1915.0,Tab.10.6
High,2014Q4,3023.0,Tab.10.6
Low,2014Q4,1498.0,Tab.10.6
Low,2014Q4,3847.0,Tab.10.6
Low,2014Q4,350.0,Tab.10.6
Low,2014Q4,509.0,Tab.10.6
Low,2014Q4,213.0,Tab.10.6
Weighted Average,2015Q4,451.0,Tab.10.6
Weighted Average,2015Q4,1858.0,Tab.10.6
Weighted Average,2015Q4,1315.0,Tab.10.6
Weighted Average,2015Q4,1165.0,Tab.10.6
Weighted Average,2015Q4,854.0,Tab.10.6
High,2015Q4,0.0,Tab.10.6
High,2015Q4,996.0,Tab.10.6
High,2015Q4,933.0,Tab.10.6
High,2015Q4,1229.0,Tab.10.6
High,2015Q4,2486.0,Tab.10.6
Low,2015Q4,879.0,Tab.10.6
Low,2015Q4,3870.0,Tab.10.6
Low,2015Q4,471.0,Tab.10.6
Low,2015Q4,252.0,Tab.10.6
Low,2015Q4,173.0,Tab.10.6
Weighted Average,2016Q4,262.0,Tab.10.6
Weighted Average,2016Q4,1798.0,Tab.10.6
Weighted Average,2016Q4,1771.0,Tab.10.6
Weighted Average,2016Q4,831.0,Tab.10.6
Weighted Average,2016Q4,736.0,Tab.10.6
High,2016Q4,0.0,Tab.10.6
High,2016Q4,878.0,Tab.10.6
High,2016Q4,1172.0,Tab.10.6
High,2016Q4,1311.0,Tab.10.6
High,2016Q4,2038.0,Tab.10.6
Low,2016Q4,715.0,Tab.10.6
Low,2016Q4,3650.0,Tab.10.6
Low,2016Q4,543.0,Tab.10.6
Low,2016Q4,245.0,Tab.10.6
Low,2016Q4,244.0,Tab.10.6
Weighted Average,2017Q4,309.0,Tab.10.6
Weighted Average,2017Q4,1794.0,Tab.10.6
Weighted Average,2017Q4,2126.0,Tab.10.6
Weighted Average,2017Q4,811.0,Tab.10.6
Weighted Average,2017Q4,577.0,Tab.10.6
High,2017Q4,0.0,Tab.10.6
High,2017Q4,882.0,Tab.10.6
High,2017Q4,1219.0,Tab.10.6
High,2017Q4,1562.0,Tab.10.6
High,2017Q4,1952.0,Tab.10.6
Low,2017Q4,921.0,Tab.10.6
Low,2017Q4,3730.0,Tab.10.6
Low,2017Q4,525.0,Tab.10.6
Low,2017Q4,229.0,Tab.10.6
Low,2017Q4,210.0,Tab.10.6
Weighted Average,2018Q4,404.0,Tab.10.6
Weighted Average,2018Q4,2104.0,Tab.10.6
Weighted Average,2018Q4,1875.0,Tab.10.6
Weighted Average,2018Q4,1023.0,Tab.10.6
Weighted Average,2018Q4,774.0,Tab.10.6
High,2018Q4,0.0,Tab.10.6
High,2018Q4,859.0,Tab.10.6
High,2018Q4,1224.0,Tab.10.6
High,2018Q4,1805.0,Tab.10.6
High,2018Q4,2291.0,Tab.10.6
Low,2018Q4,925.0,Tab.10.6
Low,2018Q4,4133.0,Tab.10.6
Low,2018Q4,486.0,Tab.10.6
Low,2018Q4,382.0,Tab.10.6
Low,2018Q4,253.0,Tab.10.6
Weighted Average,2019Q4,392.0,Tab.10.6
Weighted Average,2019Q4,2250.0,Tab.10.6
Weighted Average,2019Q4,2581.0,Tab.10.6
Weighted Average,2019Q4,1357.0,Tab.10.6
Weighted Average,2019Q4,1013.0,Tab.10.6
High,2019Q4,0.0,Tab.10.6
High,2019Q4,1168.0,Tab.10.6
High,2019Q4,1239.0,Tab.10.6
High,2019Q4,2308.0,Tab.10.6
High,2019Q4,2878.0,Tab.10.6
Low,2019Q4,1031.0,Tab.10.6
Low,2019Q4,4988.0,Tab.10.6
Low,2019Q4,704.0,Tab.10.6
Low,2019Q4,407.0,Tab.10.6
Low,2019Q4,462.0,Tab.10.6
Weighted Average,2020Q4,218.0,Tab.10.6
Weighted Average,2020Q4,4146.0,Tab.10.6
Weighted Average,2020Q4,2637.0,Tab.10.6
Weighted Average,2020Q4,1568.0,Tab.10.6
Weighted Average,2020Q4,1707.0,Tab.10.6
High,2020Q4,0.0,Tab.10.6
High,2020Q4,1653.0,Tab.10.6
High,2020Q4,1633.0,Tab.10.6
High,2020Q4,2934.0,Tab.10.6
High,2020Q4,4057.0,Tab.10.6
Low,2020Q4,1116.0,Tab.10.6
Low,2020Q4,7286.0,Tab.10.6
Low,2020Q4,763.0,Tab.10.6
Low,2020Q4,447.0,Tab.10.6
Low,2020Q4,665.0,Tab.10.6
Weighted Average,2021Q4,463.0,Tab.10.6
Weighted Average,2021Q4,5043.0,Tab.10.6
Weighted Average,2021Q4,2739.0,Tab.10.6
Weighted Average,2021Q4,3365.0,Tab.10.6
Weighted Average,2021Q4,3222.0,Tab.10.6
High,2021Q4,0.0,Tab.10.6
High,2021Q4,3000.0,Tab.10.6
High,2021Q4,2110.0,Tab.10.6
High,2021Q4,2666.0,Tab.10.6
High,2021Q4,7056.0,Tab.10.6
Low,2021Q4,3676.0,Tab.10.6
Low,2021Q4,9125.0,Tab.10.6
Low,2021Q4,758.0,Tab.10.6
Low,2021Q4,607.0,Tab.10.6
Low,2021Q4,667.0,Tab.10.6
Weighted Average,2022Q4,402.0,Tab.10.6
Weighted Average,2022Q4,5519.0,Tab.10.6
Weighted Average,2022Q4,3933.0,Tab.10.6
Weighted Average,2022Q4,3528.0,Tab.10.6
Weighted Average,2022Q4,2854.0,Tab.10.6
High,2022Q4,0.0,Tab.10.6
High,2022Q4,3029.0,Tab.10.6
High,2022Q4,2276.0,Tab.10.6
High,2022Q4,4124.0,Tab.10.6
High,2022Q4,6806.0,Tab.10.6
Low,2022Q4,3465.0,Tab.10.6
Low,2022Q4,9903.0,Tab.10.6
Low,2022Q4,1265.0,Tab.10.6
Low,2022Q4,726.0,Tab.10.6
Low,2022Q4,876.0,Tab.10.6
Weighted Average,2023Q4,820.0,Tab.10.6
Weighted Average,2023Q4,8249.0,Tab.10.6
Weighted Average,2023Q4,4588.0,Tab.10.6
Weighted Average,2023Q4,3208.0,Tab.10.6
Weighted Average,2023Q4,1977.0,Tab.10.6
High,2023Q4,0.0,Tab.10.6
High,2023Q4,4527.0,Tab.10.6
High,2023Q4,3230.0,Tab.10.6
High,2023Q4,4917.0,Tab.10.6
High,2023Q4,6168.0,Tab.10.6
Low,2023Q4,4391.0,Tab.10.6
Low,2023Q4,11587.0,Tab.10.6
Low,2023Q4,1281.0,Tab.10.6
Low,2023Q4,828.0,Tab.10.6
Low,2023Q4,755.0,Tab.10.6
Weighted Average,2024Q4,1039.0,Tab.10.6
Weighted Average,2024Q4,11249.0,Tab.10.6
Weighted Average,2024Q4,3857.0,Tab.10.6
Weighted Average,2024Q4,3921.0,Tab.10.6
Weighted Average,2024Q4,2887.0,Tab.10.6
High,2024Q4,0.0,Tab.10.6
High,2024Q4,5996.0,Tab.10.6
High,2024Q4,3615.0,Tab.10.6
High,2024Q4,5528.0,Tab.10.6
High,2024Q4,7814.0,Tab.10.6
Low,2024Q4,4891.0,Tab.10.6
Low,2024Q4,15085.0,Tab.10.6
Low,2024Q4,1125.0,Tab.10.6
Low,2024Q4,1068.0,Tab.10.6
Low,2024Q4,782.0,Tab.10.6
