quarter,weeks,commodity_total,credit_cleared,credit_total,credit_uncleared,cross_currency_cleared,cross_currency_total,cross_currency_uncleared,equity_cleared,equity_total,fx_cleared,fx_total,fx_uncleared,ir_cleared,ir_total,ir_uncleared,ir_cleared_pct,credit_cleared_pct,fx_cleared_pct,cross_currency_cleared_pct,equity_cleared_pct
2012Q4,4,3091.0,2551.95,20639.476,18087.527,,16648.654,16648.654,0.0,5166.993,,,,170352.573,373145.478,202792.905,0.45653125401133765,0.1236441273993584,,,
2013Q1,13,3091.0,2707.382,20919.676,18212.294,,16417.587,16417.587,,6445.209,,,,184072.535,386573.416,202500.881,0.47616449393923144,0.12941796995326316,,,
2013Q2,13,,2890.797,20241.959,17351.162,,9289.339,9289.339,,5753.449,,,,195477.507,327659.186,132181.678,0.5965879039936333,0.14281211615931047,,,
2013Q3,13,,3161.527,19092.493,15930.966,,16678.663,16678.663,,5874.865,,,,210869.228,415624.591,204755.363,0.5073550328017045,0.16559005678305083,,,
2013Q4,13,,2032.736,8580.339,6547.603,0.0,14137.477,14137.477,,4420.0,,31450.0,,223388.59,367274.928,143886.338,0.6082326153229822,0.23690625743341845,,0.0,
2014Q1,9,,2291.9018633,8521.129975099999,6229.2281118,0.0,16265.064916,16265.064916,,4420.0,,31450.0,,212880.64588999999,344278.82361,131398.17772,0.6183379031501274,0.2689668940618528,,0.0,
2014Q2,6,,1899.06,7439.286,5540.226,0.0,15903.169,15903.169,,4420.0,,31450.0,,214292.86,344249.003,129956.143,0.6224937708824678,0.255274498117158,,0.0,
2014Q3,13,,1853.914,6666.525,4812.61,0.0,15754.707,15754.707,,4420.0,,31450.0,,215362.903,343610.252,128247.349,0.6267650681156044,0.2780930094764514,,0.0,
2014Q4,13,,1914.519,6240.051,4325.532,0.0,15066.186,15066.186,,4420.0,,31450.0,,199141.1,311213.412,112072.312,0.6398859828059081,0.3068114347142355,,0.0,
2015Q1,13,,1828.361,5987.012,4158.651,0.0,10385.125,10385.125,,4420.0,,31450.0,,168678.296,272821.705,104143.409,0.6182730072741096,0.30538789633292873,,0.0,
2015Q2,13,,1624.737,5566.069,3941.332,0.0,10858.373,10858.373,,4420.0,,31450.0,,158955.546,259007.267,100051.722,0.6137107573896758,0.2919002621059854,,0.0,
2015Q3,13,,1734.995,5483.47,3748.475,0.0,10690.237,10690.237,,4420.0,,31450.0,,149640.318,255600.241,105959.923,0.585446701515434,0.31640457593458154,,0.0,
2015Q4,13,,1581.482,4817.333,3235.851,0.0,11140.445,11140.445,,4420.0,,31450.0,,142109.097,250086.001,107976.904,0.5682409108537028,0.32828994798574235,,0.0,
2016Q1,13,,1788.398,4954.811,3166.413,,,,,,,,,149289.043,253206.356,103917.313,0.5895943741633405,0.3609417190685982,,,
2016Q2,13,,1603.481,4471.391,2867.91,,,,,,,,,159935.952,248863.41,88927.458,0.6426655971643239,0.35860898767296356,,,
2016Q3,14,,1681.09,4253.45,2572.36,,,,,,,,,138156.442,213631.268,75474.826,0.6467051536669248,0.3952297546697387,,,
2016Q4,13,,1457.95,3568.813,2110.863,,,,,,,,,127344.075,200866.412,73522.338,0.6339739617592213,0.4085251875063221,,,
2017Q1,13,,1660.298,3994.925,2334.627,,,,,,,,,139868.802,220858.613,80989.811,0.6332956641360415,0.41560179477712345,,,
2017Q2,13,,1744.317,3920.444,2176.126,,,,,,,,,151974.642,238917.163,86942.52,0.636097633555108,0.44492843157560724,,,
2017Q3,13,,2127.186,4548.408,2421.222,,,,,,,,,153535.404,246835.685,93300.281,0.6220146167277232,0.4676770421650828,,,
2017Q4,13,,2003.719,4237.956,2234.236,,,,,,,,,146464.928,235292.668,88827.741,0.6224797790979191,0.4728031626567147,,,
2018Q1,13,,2172.89,4482.656,2309.766,,,,,,,,,166145.084,266433.364,100288.28,0.6235896342171321,0.4847327120350078,,,
2018Q2,13,,1804.877,3856.798,2051.921,,,,,,,,,165972.391,272385.87,106413.479,0.6093281967966988,0.4679729143190802,,,
2018Q3,13,,2090.386,4362.769,2272.383,,,,,,,,,163207.324,277621.816,114414.491,0.5878764369151739,0.4791420311274789,,,
2018Q4,10,,2099.434,4594.217,2494.783,,,,,,1057.579,55960.43,54902.851,221408.546,280830.67,59422.124,0.7884058603713049,0.456973190426138,0.01889869323734646,,
2019Q1,10,,1904.305,3989.231,2084.926,,,,,,1009.885,53150.624,52140.739,224040.636,282149.038,58108.403,0.7940506818244052,0.47736142629995604,0.0190004354417363,,
2019Q2,13,,1899.471,4012.673,2113.202,,,,,,1095.698,52947.369,51851.671,239115.949,295858.974,56743.025,0.8082092145699119,0.4733680018282078,0.020694097189229557,,
2019Q3,13,,2220.073,4316.293,2096.221,,,,,,1101.244,54596.442,53495.198,229189.344,280537.966,51348.622,0.8169637331725718,0.5143471492783275,0.020170618444330123,,
2019Q4,13,,1950.529,3842.2,1891.671,,,,,,1024.546,48796.258,47771.712,207223.031,256765.865,49542.834,0.8070505438875218,0.507659413877466,0.020996405093193827,,
2020Q1,13,,3103.139,5679.833,2576.694,,,,,,1288.111,53078.399,51790.288,238576.644,286962.91,48386.265,0.8313849479711508,0.5463433519964408,0.02426808314244746,,
2020Q2,13,,2503.47,4539.472,2036.002,,,,,,1121.237,48859.537,47738.3,218875.426,265459.77,46584.344,0.8245144866960443,0.5514892480887645,0.022948170794168603,,
2020Q3,13,,2881.15,4433.31,1552.16,,,,,,1152.94,51197.095,50044.155,202770.747,249584.072,46813.325,0.8124346452685491,0.649886879103875,0.02251963710050346,,
2020Q4,13,,1963.504,3544.125,1580.621,,,,,,1070.963,51126.586,50055.623,209463.243,258959.012,49495.769,0.8088663969725062,0.5540165767290939,0.020947281713666544,,
2021Q1,13,,2269.99,4308.695,2038.705,,,,,,1366.183,52159.324,50793.141,224028.246,273851.99,49823.745,0.8180632391972029,0.5268393330231079,0.026192498200321768,,
2021Q2,13,,2086.623,4462.207,2375.584,,,,,,1331.227,52203.341,50872.114,223400.006,274793.777,51393.771,0.8129733083438785,0.46762129143717446,0.025500800801236075,,
2021Q3,13,,2677.405,4559.646,1882.241,,,,,,1417.8,52682.208,51264.407,219214.996,268987.933,49772.937,0.8149621938616852,0.5871958042356797,0.026912311647985597,,
2021Q4,14,,2125.648,4405.901,2280.253,,,,,,1374.029,52256.271,50882.242,227424.464,274728.087,47303.623,0.8278165748666244,0.48245478053183677,0.026294049952397102,,
2022Q1,12,,2574.756,5488.959,2914.203,,,,,,1638.065,53727.554,52089.489,250556.416,299500.489,48944.073,0.8365809913585817,0.4690791095360705,0.030488359846048457,,
2022Q2,13,,2381.718,5084.262,2702.544,,,,,,1557.174,52915.413,51358.239,249598.254,297371.584,47773.33,0.8393480326620583,0.4684491082481587,0.029427607415631434,,
2022Q3,14,,2746.566,5780.895,3034.329,,,,,,1652.65,56585.641,54932.991,241665.752,285630.7,43964.948,0.8460776520170976,0.4751108608615101,0.02920617264015795,,
2022Q4,8,,2734.601,5329.11,2594.509,,,,,,1730.347,57534.756,55804.409,245047.827,289148.511,44100.684,0.8474808538785801,0.5131440334314736,0.030074812518540966,,
2023Q3,6,,3300.103,4667.915,1367.812,,,,,,1783.19,55870.25,54087.06,236207.69,275707.241,39499.552,0.8567337192279256,0.7069758125415737,0.031916628259225616,,
2023Q4,11,,2628.796,4084.888,1456.092,,,,,,1762.77,56495.924,54733.153,229058.971,269238.262,40179.29,0.8507667866315375,0.6435417568364176,0.03120171996832904,,
2024Q1,4,,2606.934,3986.731,1379.796,,,,,,2033.514,59111.475,57077.961,249551.911,288254.014,38702.103,0.8657361177284421,0.6539026585942217,0.03440134085640732,,
2024Q3,7,,3856.433,5666.553,1810.12,,,,,,2428.291,66339.664,63911.373,276421.141,318652.612,42231.471,0.8674686181452044,0.6805606512460044,0.036603908636016,,
2024Q4,13,,3023.02,4411.698,1388.679,,,,,,2306.2,59789.604,57483.403,249312.599,286132.117,36819.518,0.8713198700445081,0.6852282273174637,0.03857192297175944,,
2025Q1,13,,3982.82,5528.978,1546.158,,,,,,2890.891,69534.496,66643.605,277201.754,315961.913,38760.158,0.8773264833347176,0.720353743494729,0.04157491844048169,,
2025Q2,13,,3701.07,5496.273,1795.203,,,,,,3282.458,75038.369,71755.91,298587.956,338154.871,39566.915,0.8829917342814205,0.6733781236849044,0.043743727958692705,,
2025Q3,13,,4872.337,6788.337,1916.0,,,,,,3273.827,74531.323,71257.496,330056.892,382771.482,52714.59,0.862281824851309,0.7177511959114582,0.04392551840251112,,
2025Q4,13,,3961.908,5670.357,1708.449,,,,,,3078.113,67793.111,64714.998,319250.498,371718.09,52467.592,0.8588511202131701,0.6987052137987079,0.045404510201633906,,
2026Q1,8,,4243.77,6310.529,2066.759,,,,,,4085.23,79679.768,75594.538,358404.079,415553.2,57149.121,0.8624745977169711,0.6724903728356213,0.0512706061091945,,
